url,keyword,owner_handle,owner_name,caption,transcript,views,thumbnail,location_name,us_decision,relevance_decision,discovered_at,updated_at,status
https://www.instagram.com/reel/DKsOseXv3n7,gym,martfitzh2o,Martin “The Martian” Fitzwater,"10 Best Gyms in the United States. The last one might be the best 👽

Have you been to any of these?","1
00:00:00,000 --> 00:00:03,281
The ten best gyms in the United
States. This is only gyms I've

2
00:00:03,281 --> 00:00:06,321
been to. In no specific order,
we have armrests in Denver. We

3
00:00:06,321 --> 00:00:10,161
got OG Metroflex in Arlington.
We have Bevs out in New York

4
00:00:10,161 --> 00:00:13,121
City. We got Absolute Recomps.
They're all around Dallas.

5
00:00:13,121 --> 00:00:16,241
Kissimmee Gym out in Orlando,
Florida. Gold's Gym out in

6
00:00:16,241 --> 00:00:19,761
Venice Beach. We got RVA which
is a small gym out in Virginia.

7
00:00:19,761 --> 00:00:22,721
Bob's, this is a gym out in
Omaha, Nebraska. Brett said it

8
00:00:22,721 --> 00:00:25,601
was a must for this list. We
got Mad House out in Atlanta,

9
00:00:25,601 --> 00:00:28,561
Georgia. This has the most
equipment I've ever seen. The

10
00:00:28,561 --> 00:00:32,141
gym out in San Diego, perfect
weather, and the beach is right

11
00:00:32,141 --> 00:00:35,501
there. In honorable mentions,
we got Torture Gym, IFBB

12
00:00:35,501 --> 00:00:39,525
Private Gym, and My Gym to
Come.

",495,https://instagram.flhe38-1.fna.fbcdn.net/v/t51.2885-15/504469321_18480361138066253_8517301274206779176_n.jpg?stp=c0.420.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.flhe38-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QHA1Y-faeEjKj2u_mCtsbvmKFdEtMnZySw7EvT_rxxwqxNZ2V7avyvKgU1lHs9qs5c&_nc_ohc=ujRdP7TEtF4Q7kNvwHKy8za&_nc_gid=prAocdfr8m1R5spCOFlLsw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdakKFpl7UmjV9OijXiSjirqP6abt7N0_kQdVBVTl5X0Q&oe=68F41FB6&_nc_sid=d885a2,,,,2025-10-14T11:35:55.790Z,2025-10-14T11:37:07.556Z,transcript_fetched
https://www.instagram.com/reel/DMGKJduJWLC,gym,jakeheyen,Jake Heyen,"4 of the wildest and most well designed gyms in the U.S. 👇

1️⃣ Hume in LA (@hume.losangeles). A luxury wellness space with custom designed equipment. Blending natural, organic materials to create a serene environment. With a rooftop area that has views of the Pacific Ocean.

2️⃣ Sweet Honey Farm in New Jersey (@sweet.honeyfarm). A one of a kind barn gym that has a rustic charm to it. With bespoke equipment, handcrafted recovery systems, and an open concept that connects you with nature. You can even workout with horses.

3️⃣ Fit Athletic in San Diego (@fitathletic). This one has multiple locations. Each with extremely high quality equipment and amenities at a great price. Full workout floors, EV recovery lounges, reformer pilates, and even a view of the Padres stadium.

4️⃣ Hive Fit Club in Scottsdale (@thehivefitclub). A totally unique jungle vibe, combining fitness, recovery, and community under 1 roof. Moss gorilla sculptures, plants all over, and state of the art equipment. Also has advanced therapies like Cryotherapy and Hyperbaric Oxygen.

What other gyms should I cover next?","Gems aren't just gems anymore. They're brands, communities, and even experiences. And these are four of the wildest and most well-designed gems in the US. HUE in LA, a luxury wellness space with custom-designed equipment, blending natural and organic materials to create a serene environment. With a rooftop area that has views of the Pacific Ocean. Sweet Honey Farm in New Jersey, a one-of-a-kind barn gym that has a rustic charm to it. With bespoke equipment, handcrafted recovery systems, and an open concept that connects you with nature. You can even work out with horses. Fit Athletic in San Diego. This one has multiple locations. Each with extremely high quality equipment and amenities at a great price. Full workout floors, EV recovery lounges, reformer Pilates, and even a view of the Padre stadium. Hive Fit Club in Scottsdale, a totally unique jungle vibe, combining fitness, recovery and community under one roof. Moss, gorilla sculptures, plants all over and state-of-the-art equipment. Also has advanced therapies like cryotherapy and hyperbaric oxygen.",15296,https://instagram.fpoa2-1.fna.fbcdn.net/v/t51.2885-15/520256371_1240718730703022_1593096741720679738_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fpoa2-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QG7futpvhAyqonL7JIhGDEE4f4z0kMY3L_YirPd4BIt2j0IL8IahySWIMFt4jmsLGc&_nc_ohc=ljtRmy_bTfgQ7kNvwFSZ9ky&_nc_gid=sk_vavkfUJif_rdtuBp-jA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Aff1MYmEHw4W3j06sWMdZ82a8iUWe6dKo5QjjJsrzJgbqQ&oe=68F41535&_nc_sid=d885a2,,,,2025-10-14T11:35:55.790Z,2025-10-14T11:37:07.556Z,transcript_fetched
https://www.instagram.com/reel/DLfZhKvMgAE,gym,jessejameswest,Jesse James West,"$1 vs $10M Gyms

New YT video going to the craziest gyms in America. From $1 all the way to $10 million dollars.

YT: “Jesse James West”","1
00:00:00,000 --> 00:00:03,281
This is a $10 million dollar
gym. The newest and most

2
00:00:03,281 --> 00:00:06,641
expensive Fusion Gym in the
country. Complete with the most

3
00:00:06,641 --> 00:00:09,601
expensive equipment you could
buy. A barber shop, a

4
00:00:09,601 --> 00:00:12,241
supplement store, a
state-of-the-art recovery spa,

5
00:00:12,241 --> 00:00:16,241
and much, much more. Everything
you see here is just one of

6
00:00:16,241 --> 00:00:20,561
three floors. Wow. So phase 1
cost us 10 million. By the time

7
00:00:20,561 --> 00:00:25,500
we're done, we'll have spent
$30 million dollars. Yeah.

",4741,https://instagram.fmnl17-7.fna.fbcdn.net/v/t51.2885-15/514696410_3113312985510380_5543014402394398628_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fmnl17-7.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QG-Rcc8lwg-84mJfjzl7E8KDD03NEFx-15qUZEoH_oglqUzfF1ETXcWtNxxGsOW9mE&_nc_ohc=KMcq9x61RycQ7kNvwG8hEH7&_nc_gid=5QRHvVfeqbeS5MvF93e7kw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfelpIAodwGqoyudU7Lzc0RAe8_O5jPk570sDU6VBvqJHw&oe=68F3F693&_nc_sid=d885a2,,,,2025-10-14T11:35:55.790Z,2025-10-14T11:37:07.556Z,transcript_fetched
https://www.instagram.com/reel/DAmOXYdyLb1,gym,oceanpacificgym,Ocean Pacific Gym & Wellness,"Ever wonder why Ocean Pacific Gym is the hottest spot in the U.S.? 🇺🇸 🌊🏋️‍♂️ 

Picture this: you can hit the beach, then jump straight into a workout. Not just lifting… we’re talking cold plunges with ocean views, a 20-person coed sauna to warm up, or a steam room. Add in top-notch equipment, killer classes, and fresh, organic meals made from scratch. 

This isn’t your average gym. 😎

Come take a tour and see for yourself why it’s more than just a workout 🙌🏻

#OceanPacificGym #HolisticFitness #BeachsideVibes","1
00:00:00,000 --> 00:00:02,081
We're at the number one
holistic gym in the United

2
00:00:02,081 --> 00:00:06,121
States. It's also the hottest
too. You want to find out why?

3
00:00:06,121 --> 00:00:09,841
Most gyms you just come to to
get in a lift. But I just got

4
00:00:09,841 --> 00:00:12,721
out of the surf and we're about
to optimize our bodies way more

5
00:00:12,721 --> 00:00:15,121
than just lifting. Let me show
you what we're about to do. Not

6
00:00:15,121 --> 00:00:18,401
only can you get a lifting in
the sun, you can also cold

7
00:00:18,401 --> 00:00:23,021
plunge while looking in the
ocean view. And if that's too

8
00:00:23,021 --> 00:00:26,541
cold. Come warm up in our 20
person co-ed sauna. But if

9
00:00:26,541 --> 00:00:30,061
that's too hot and dry for you,
like our exes. Come get some

10
00:00:30,061 --> 00:00:33,181
more moisture in our humongous
steam room. And if that wasn't

11
00:00:33,181 --> 00:00:36,061
hot enough for you, look at all
the classes they have. You can

12
00:00:36,061 --> 00:00:41,501
really work up a sweat. But if
that's too light, you can try

13
00:00:41,501 --> 00:00:45,021
out all these new equipment.

14
00:00:47,421 --> 00:00:54,601
But what about over here? And
now I've worked up a massive

15
00:00:54,601 --> 00:00:57,641
appetite. What do I do? Oh,
I've got you. We make all of

16
00:00:57,641 --> 00:01:00,521
our food here from scratch
every day. Organic ingredients,

17
00:01:00,521 --> 00:01:04,921
organic Tarzan approved. Okay,
let's go. Oh, shoot. We forgot

18
00:01:04,921 --> 00:01:09,321
to mention our coffee cup. Oh,
****

",26647,https://instagram.fdmm3-1.fna.fbcdn.net/v/t51.2885-15/506091836_1223780689545466_4429663865396155349_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640_tt6&_nc_ht=instagram.fdmm3-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QGpR3NvKphohmFE2jTngm0Rxfv7q1u53pGh1hlm154Jze5colpym5lNY6y1P925Z8Y&_nc_ohc=DpBW9QjUz3IQ7kNvwGC7X5_&_nc_gid=iLYlnZ8EOVreKI1Ckux3tw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdPT2UBbRKw9yJVDlfWB9HxjzxYLo-WLcc22asPOyByUA&oe=68F400AC&_nc_sid=d885a2,,,,2025-10-14T11:35:55.790Z,2025-10-14T11:37:07.556Z,transcript_fetched
https://www.instagram.com/reel/DJrYIV_u_ll,gym,timlyonsjr,Tim | Fitness Business Coach,"Stopped by the Oldest Gym in America

Caught up with an old friend, Jake Wareing, and had the chance to visit Wareing’s Gym—the oldest gym in the country, still going strong.

This place is rich with history, grit, and legacy. Exactly the kind of energy we love in the Iron Circle Mastermind.

Appreciate the hospitality, Jake. This one’s for the lifers.

#WareingsGym #IronCircle #GymOwners #LegacyFitness #ironbuilt",,7,https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/498118129_539530689229388_8068952633587105042_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFt-TVKMvvv7m3tgtKsl7fFmECSj2ofdgqcAR-7cTX1m67AtDDAr3i5mqbCQ1yN1ZE&_nc_ohc=JdAA3SJ4sLIQ7kNvwGIZwvu&_nc_gid=YGCifuANQsRWdmURlsn8Dg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AffyX2wvNsypD1oA4AxEKsB33HyFcky9slQfOG6YAx4K9g&oe=68F40DF5&_nc_sid=d885a2,Wareing's Gym,,,2025-10-14T11:35:55.790Z,2025-10-14T11:37:07.556Z,transcript_fetched
https://www.instagram.com/reel/DO5SNhpDL1T,gym,binousgym_,Binousgym,,,43104,https://instagram.fmty6-1.fna.fbcdn.net/v/t51.2885-15/551806152_1902013560377061_645281153546005602_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fmty6-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QEJlcwDzxeEVma41ixH8JYJMe-LRU3anjSH3TZZm7m1FnLfBqTAqQodfhZ1hOVxe-o&_nc_ohc=xyTHkwk76HIQ7kNvwG3lCz7&_nc_gid=JZaWbjAFrJsq1WFrtt2K0g&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfffUEzA3NLGAf6-MZxvFI0wqsH_Ub5QQ1ruwCJSR7p10g&oe=68F403AB&_nc_sid=d885a2,,,,2025-10-14T11:35:55.790Z,2025-10-14T11:36:45.956Z,hydrated
https://www.instagram.com/reel/DLk2qCcSHC6,gym,markdanhillfitness1.0,Mark M.,Medicaid -> Gym. United States of Unamerica. #fyp  #medicaid #fitness #gymlife #progress #oldmangogym #happydoggos #health #lgbtq #gym #performativeprovocation #ideologicalreckoning #racism #hate #hope #peace #genz #universalhealthcare,,0,https://instagram.fcgk30-1.fna.fbcdn.net/v/t51.2885-15/504340757_1270223051145471_4306960786950175956_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fcgk30-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QEpunZ_O4mxjCuQdHPe1rBLPm-PBqiDFy7R1L0oC_F7oUDSyW5H5M1c24rai3QVhuE&_nc_ohc=3n5_ldwHD_8Q7kNvwHKzttA&_nc_gid=3llcq8dPusB3QdpLmmKySQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afey3HrB1ej6yyhq7LYx8xdPStGrRYWIZwCc1dglxn9cDQ&oe=68F416D5&_nc_sid=d885a2,,,,2025-10-14T11:35:55.790Z,2025-10-14T11:36:45.956Z,hydrated
https://www.instagram.com/reel/DHa9UBmsnjV,gym,goldsgymmiddletown,"Gold’s Gym Middletown, NY","🤳🏻 The Perfect Gym Selfie 🤳🏾

As you may have noticed, many gyms (including ours) have policies against taking photos or videos in locker rooms in order to respect privacy and maintain a comfortable environment for all members. As an alternative, please take advantage of our Posing Rooms for all your ""gym selfie"" 📸 needs! No sign up or appointment required. 📅

And please tag us in your gym selfies! 🤳🏾
.
.
.
.
#gymselfie #gymmotivation #gymlife #fitnessjourney #fitnessgoals #goldsgym",,1325,https://scontent-mba2-1.cdninstagram.com/v/t51.2885-15/503045106_704278188917623_271017905963233519_n.jpg?stp=c0.420.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-mba2-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFxnhZQiLQV1srIe3LDIOUYpb5Ncvv0P_4eYulU04BV_8H3PiNISmSeVhyrsr-L5n8&_nc_ohc=kOkl8gIfY-sQ7kNvwHR4SCN&_nc_gid=Xv4ZWt7gv9EtwEe3SXIoqA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afe-B7VVFoJ24aQW1sT9Lf6SdNwGyIdJzRqwKEleDpqRmg&oe=68F42265&_nc_sid=d885a2,,,,2025-10-14T11:35:55.790Z,2025-10-14T11:36:45.956Z,hydrated
https://www.instagram.com/reel/DPL3adWjlkU,gym,goldsgymmiddletown,"Gold’s Gym Middletown, NY","Bonnie was sick and tired of being sick and tired. She chose to make a commitment to fitness and has stuck with it ever since. Training with Coach Michele has been a huge contribution to her fitness journey. Kudos Bonnie!
.
.
.
.
#fitnesstransformation #personaltraining #builtbygolds #consistencywins #hudsonvalley #goldsgym",,264,https://scontent-dus1-1.cdninstagram.com/v/t51.2885-15/557632913_18536117710031633_4672022409284140642_n.jpg?stp=c0.420.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QH8gsJrjtzKSDvlVpfwjNgh1nmUfpKXpyOG3WPkTzEomzym6K3Cubf-2kXKpnXii1M&_nc_ohc=bNwPpLvmjb4Q7kNvwFxJFe7&_nc_gid=jmfa8TYyF6XCAMhS_o1Jsw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AffHmoTOAga7HK-msR1JGtRRaZaXcAXbFOgvvg337yS87g&oe=68F3FC5D&_nc_sid=d885a2,,,,2025-10-14T11:35:55.790Z,2025-10-14T11:36:45.956Z,hydrated
https://www.instagram.com/reel/DPv6ed4jKwL,gym,,,,,,,,,,2025-10-14T11:35:55.790Z,2025-10-14T11:35:55.790Z,pending
