url,keyword,owner_handle,owner_name,caption,transcript,views,thumbnail,location_name,us_decision,relevance_decision,discovered_at,updated_at,status
https://www.instagram.com/reel/DPCpqgBkUuw,iphone pro max,emrekara_e,Emre Kara ✨ Philly Content Creator,"Next up: zooming in through the airplane window to see what’s inside? @apple 😂

#iphone17
#iphone17promax",,198828,https://instagram.fctt1-1.fna.fbcdn.net/v/t51.2885-15/553369259_1502393474277287_7088450044031463340_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fctt1-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QGF0vM1lF8_RWySQF8nnu9jtI-NFCEgiok1r15RsbcjEsMVYNTr9vjGoXuySRpNj-I&_nc_ohc=o5N_y2viHPEQ7kNvwG1mufY&_nc_gid=jq7pj4x0gDcP0V1ISenDlg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdmAHJrCAwMGvgmP9lBNl4bf3ViIw8qkOOUPN9BX1VjEA&oe=68F4929F&_nc_sid=d885a2,"Philadelphia, Pennsylvania",,,2025-10-14T19:33:58.656Z,2025-10-14T19:35:09.150Z,transcript_fetched
https://www.instagram.com/reel/DOytV4viCdC,iphone pro max,markellisreviews,Mark Ellis,"iPhone 17 Pro Max Hands-On - my initial thoughts…

#iPhone17ProMax #AppleEvent #TechReview #HandsOn #iOS26 #markellisreviews","This is the iPhone 17 Pro Max in Cosmic Orange, and this is what I said about it in my full review.

Right, okay, let's open the box. Oh, it's everything I'd hoped for. Let's do the peel, here we go.
It feels like it's not titanium anymore. It's an aluminum unibody frame. If you're thinking between the orange and the other colors that you can choose from with the, with the Pro Max, or or the Pro, I think get it.
What I want to know immediately is, does it wobble on the surface of the table? No, not really. Seeing that again, that little thing at the top of the screen is actually a bit of a, quite nice.
Oh, hang on. I, I used to moan about Dynamic Island, didn't I? One thing I really want to try is the new selfie camera, and it's the first ever square sensor. This is the Apple that I love. They choose these features which will have a genuine benefit on the people using them.
I honestly think that this new selfie camera across the new iPhone lineup is possibly the biggest feature.
The ability just to press that button and do that. I've got no one here to do a group selfie with, because I have no friends. But Apple, I love you when you do these things, it's utterly lovely.

Okay, to save you some time, I've done some scouring of the reviews that have gone live about the iPhone 17 Pro and Pro Max. The actual frame itself is thicker and heavier, apparently, than the 16 Pro Max.
The telephoto lens, yes, we have an eight times optical zoom. The battery is apparently better than the 16 Pro Max. I would only recommend getting this, I think, if you are a pro, or if you're just someone who wants the best of the best. In which case, you don't need me to tell you that, you'll just buy.
What I want now from you guys is to get involved down below. Have you bought this? What are you going to do with it? Why have you bought it? Have you not bought it? Have you gone for a completely different version of the new iPhone? See you down below. Cheers.",9593,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/551066765_18070131014239396_2269715035561023444_n.jpg?stp=c0.472.1216.1216a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QEa21jeebR6PVebRi4gWhk5XqJOJqxfWPBznRckfqVEe9QJXGeQa1ABy_B5f6ZtJE8&_nc_ohc=yAU598JttGwQ7kNvwErL6_-&_nc_gid=AuKVHHfzXqkRU6edYECJtQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfcqkK2SiVzbiWL7jssUAw1Fj66TWPWakMniq8zGp2SlWw&oe=68F46C73&_nc_sid=d885a2,,,,2025-10-14T19:33:58.656Z,2025-10-14T19:35:09.150Z,transcript_fetched
https://www.instagram.com/reel/DOz36fwDT9L,iphone pro max,jer.friesland,Jer Friesland,"New phone thoughts 

#iphone17promax 
#cosmicorange","1
00:00:00,161 --> 00:00:10,981
Okay. I have spent the last
four hours with my brand new

2
00:00:10,981 --> 00:00:16,421
iPhone 17 Pro Max in cosmic
orange here are my initial

3
00:00:16,421 --> 00:00:24,501
thoughts. Unboxing.
Unparalleled. I love opening a

4
00:00:24,501 --> 00:00:31,221
box and knowing exactly what I
got. An orange iPhone. I also

5
00:00:31,221 --> 00:00:33,781
love that I didn't even have to
open the box to know what I

6
00:00:33,781 --> 00:00:38,981
got. Because bam. It's on the
box. I keep all of my Apple

7
00:00:38,981 --> 00:00:44,421
boxes. I have a collection that
spans years. Okay. I have many

8
00:00:44,421 --> 00:00:50,401
different Apple boxes. Maybe
sometime I'll show them. The

9
00:00:50,401 --> 00:00:58,161
tea is I was so excited for the
dumbest reason. I never get a

10
00:00:58,161 --> 00:01:04,161
fun color. Ever. I never get a
fun color. I always go like the

11
00:01:04,161 --> 00:01:08,641
last time I got a phone I
literally was like sweating

12
00:01:08,641 --> 00:01:15,841
making a decision to get the
light blue or the fire red. And

13
00:01:15,841 --> 00:01:19,121
I was like mm I think I'll get
tired of the fire red. And I

14
00:01:19,121 --> 00:01:24,081
got light blue. And before that
it was white, gold, silver.

15
00:01:24,081 --> 00:01:29,201
That like and I'm a neutral
person. I love neutral colors.

16
00:01:29,201 --> 00:01:34,481
I love neutral tones like that.
But also I wanted to get

17
00:01:34,481 --> 00:01:42,961
something more exciting and
fun. And I wanted to have a fun

18
00:01:42,961 --> 00:01:48,481
exciting phone. So I got the
orange. I do not regret that

19
00:01:48,481 --> 00:01:51,281
decision one bit. I have a
clear case on it so that

20
00:01:51,281 --> 00:01:54,721
everyone can see that I'm the
proud nerve of an orange

21
00:01:54,721 --> 00:02:00,661
iPhone. Love that for me. Um
yeah honestly best decision

22
00:02:00,661 --> 00:02:06,881
I've made so far. Noticeably
different. I'm upgrading from

23
00:02:06,881 --> 00:02:11,841
an iPhone 14 plus. And the last
time I got the phone I had an

24
00:02:11,841 --> 00:02:16,161
iPhone 12 Pro Max. And I loved
that phone. But when I was

25
00:02:16,161 --> 00:02:20,241
ready to upgrade again I really
thought to myself like do I

26
00:02:20,241 --> 00:02:25,681
need the Pro Max? Like am I
really living for three cameras

27
00:02:25,681 --> 00:02:28,881
and all of the things and it
being able to do this this and

28
00:02:28,881 --> 00:02:32,481
this and this. And I didn't
think so at the time. I can

29
00:02:32,481 --> 00:02:36,561
tell you over the past three
and a half years. I am for

30
00:02:36,561 --> 00:02:40,401
that. I need that camera
system. The camera system I

31
00:02:40,401 --> 00:02:46,641
currently have. It is just it's
unparalleled. It's beautiful.

32
00:02:46,641 --> 00:02:52,761
It is you can take amazing
photos. I am planning tomorrow

33
00:02:52,761 --> 00:02:58,401
morning to like go on a walk
outside and really like test

34
00:02:58,401 --> 00:03:03,921
the camera in full broad
daylight. Great exposure. All

35
00:03:03,921 --> 00:03:07,201
of those things because I
want to see what this thing can

36
00:03:07,201 --> 00:03:11,401
do. But I'm you like I'm
filming this right now. It's

37
00:03:11,401 --> 00:03:15,401
1115 at night. I'm in literally
in a quick trip parking lot.

38
00:03:15,401 --> 00:03:20,841
The light is literally coming
from the light outside and like

39
00:03:20,841 --> 00:03:29,481
I look well enough lit. Like
the low light mode is amazing.

40
00:03:29,481 --> 00:03:33,401
I've already tested out the
FaceTime with center stage.

41
00:03:33,401 --> 00:03:38,201
That's incredible. The fact
that I can literally just set

42
00:03:38,201 --> 00:03:40,841
my phone and it follows me
around. I wish I did it on this

43
00:03:40,841 --> 00:03:44,761
so that I can almost show you.
I think I will I'll try and

44
00:03:44,761 --> 00:03:47,561
like do something where I can
take a video of it and show

45
00:03:47,561 --> 00:03:54,361
because it's amazing. The fact
that you can do ultra wide on

46
00:03:54,361 --> 00:03:59,161
your front facing camera.
Amazing because I love an ultra

47
00:03:59,161 --> 00:04:05,041
wide photo. I use ultra wide
all the time. Yeah it's

48
00:04:05,041 --> 00:04:10,521
unparalleled. Camera's amazing.
Color amazing. For me this is a

49
00:04:10,521 --> 00:04:15,001
huge upgrade for screen. Um
it's a bigger screen which I

50
00:04:15,001 --> 00:04:21,381
love because I have fat hands.
Um and I'm also blind so I like

51
00:04:21,381 --> 00:04:24,901
to be able to have more screen
real estate. I also am a big

52
00:04:24,901 --> 00:04:30,261
like movie watcher on the
phone. So that is also helpful

53
00:04:30,261 --> 00:04:34,101
for that. This is my first time
with a dynamic island. We're

54
00:04:34,101 --> 00:04:37,301
getting used to her. We're
learning about her. We're

55
00:04:37,301 --> 00:04:39,941
seeing what she can do. I've
also never had Apple

56
00:04:39,941 --> 00:04:43,221
Intelligence before. Very
excited to test that out and

57
00:04:43,221 --> 00:04:47,461
see what she can do or what she
can't do. Cuz that's the drama

58
00:04:47,461 --> 00:04:55,121
and the tea. Um But this is an
overall like I have not been

59
00:04:55,121 --> 00:04:59,641
this excited about getting a
phone since I got the iPhone

60
00:04:59,641 --> 00:05:07,681
five S. And then after that the
iPhone 12 Pro Max. Those phones

61
00:05:07,681 --> 00:05:13,681
were amazing to the T. Um
actually I lied. I haven't been

62
00:05:13,681 --> 00:05:19,841
this excited since I got my
iPhone seven mm yeah seven S

63
00:05:19,841 --> 00:05:24,481
Plus. The big one that the
first iPhone that ever had two

64
00:05:24,481 --> 00:05:29,361
cameras. That phone and this
phone gave me the same level of

65
00:05:29,361 --> 00:05:33,521
excitement unboxing. Because I
was unboxing something that

66
00:05:33,521 --> 00:05:36,881
nobody had ever seen before.
Completely new form factor. New

67
00:05:36,881 --> 00:05:39,761
color. Everything. And I got
the fun color that time too. I

68
00:05:39,761 --> 00:05:47,041
got rose gold. I had a rose
gold iPhone 7 S Plus. And I'm

69
00:05:47,041 --> 00:05:52,541
telling you this is that to me.
Like I'm so excited about it.

70
00:05:52,541 --> 00:05:58,301
So save your coin. When you're
ready for an upgrade, upgrade

71
00:05:58,301 --> 00:06:04,301
to this phone. It really is
she's really that girl. And she

72
00:06:04,301 --> 00:06:09,261
is the moment. And I'm so very
happy that I have her. And

73
00:06:09,261 --> 00:06:12,141
that's all.

",158,https://scontent-cgk2-1.cdninstagram.com/v/t51.2885-15/550776784_4221650011405240_3893813900086740417_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=scontent-cgk2-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QH96BuQjQNnIjgO63gkNo_FAMU6Gg7jKmS2nYKmLYcOhTMJyyxJbbGW9JPYTvh3i04&_nc_ohc=4HflyrjhUc0Q7kNvwECQNKA&_nc_gid=AvhNRHpsmDN6MT7ODLCKuA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfePMpgwkAp7-6NECvwWqd8jidgnwrzh8GnPNraV9jH1aQ&oe=68F46068&_nc_sid=d885a2,,,,2025-10-14T19:33:58.656Z,2025-10-14T19:35:09.150Z,transcript_fetched
https://www.instagram.com/reel/DPx00haDIQO,iphone pro max,d.articulate,Adaranijo S. Ajibade,"Join me as I unbox the newly 17 Promax, silver color. This iPhone is truly the best iPhone released so far.
Shop yours at @articulateplugsandgadgets and get a complimentary gift.","1
00:00:00,000 --> 00:00:04,241
Join me as I unbox the newly
released 17 Pro Max in silver

2
00:00:04,241 --> 00:00:07,121
color. Apple's favorite line
when they release a new phone

3
00:00:07,121 --> 00:00:11,361
is that this iPhone is the best
iPhone released so far. When it

4
00:00:11,361 --> 00:00:14,721
comes to packaging, we always
give Apple their flowers. And

5
00:00:14,721 --> 00:00:18,161
they come nothing short of the
same thing for this 17 Pro Max

6
00:00:18,161 --> 00:00:22,321
series. Let's get right into
it.

7
00:01:00,161 --> 00:01:04,181
Don't forget that you can
purchase your 17 pro max or any

8
00:01:04,181 --> 00:01:08,021
17 series laptop from us at
articulate peels and gadget and

9
00:01:08,021 --> 00:01:10,901
when you do, you are going to
be getting this lead light

10
00:01:10,901 --> 00:01:14,901
complimentary to help you with
all your selfie videos. We hope

11
00:01:14,901 --> 00:01:20,021
to see your patronage very
soon. See you on the next one.

",106,https://instagram.fltn1-1.fna.fbcdn.net/v/t51.2885-15/564734369_1327870982079707_7200731061330132431_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fltn1-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QFfLAvhpNp5ClpwNJfEIg6Run4EGTONv7uaeLikATmi7x45WqZPH3Keb4bn0q7gxAg&_nc_ohc=SI9IfdFS6s8Q7kNvwE9TMVw&_nc_gid=DYmo43pEcdWxVp84_vPn1A&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Aff8aP_6XX-NjfzJguqiGkqvR-39BI9mFOMZqYc1a6DnCQ&oe=68F471DB&_nc_sid=d885a2,,,,2025-10-14T19:33:58.656Z,2025-10-14T19:35:09.150Z,transcript_fetched
https://www.instagram.com/reel/DO44RZADv2-,iphone pro max,mr_jaygarcia,Jesús A. Garcia,"Initial impressions, DM if you guys have specific questions!","So, a lot of you guys have been asking me about my initial impressions of the new iPhone 17 Pro Max. I have to say that I actually really like this phone. Coming from the 15 Pro Max, it's not like a huge upgrade, but there are some noticeable differences. And the first one I would say is the battery life. Like this one, I think it's because this phone is brand new, and it hasn't really accustomed to my usage yet, but the battery, I've been using it all day, and I'm at 48%. So that's a plus. Also, the screen is a little bit bigger than it used to be, uh, compared to the 15. The camera is much better, especially with the zoom. I also love the color. I mean, I wanted something different. I had the gray iPhone before, now I have this cosmic orange. And I typically go for the colors that are like pretty vibrant and light. I did want to do silver, but honestly, I wanted something different because I already had gray, and that's kind of similar. A lot of the features that I like about this phone are actually because of the iOS update, like the new call holding feature, the call screening features, like the liquid glass situation. I like the way that the icons look. Ignore my notifications. I know I have too many, I know I have to clear them, but we're just not going to talk about that. This extra button here, I know that this was available on the 16, I didn't have the 16, but, um, you know, it's pretty neat, but I don't feel like I'm going to use it that much. Honestly, it's not like that big of an upgrade. Like, I would say that if you have, the 13, which my brother had, even he was like, ""Oh, you know, it's a really nice phone, but it doesn't feel that much different."" So, I feel like, is it worth it? Mm, probably not. It really depends on the state of your phone, and how you use it. If you are a user that uses the camera a lot, then yeah. Because this camera is out of control. Now, regarding the price of the phone, it did stay the same to the 16, 16 Pro Max, I should say, and there are a lot of carrier deals. If you're willing to stay with your carrier for two years, I would say you should definitely upgrade, because a lot of the deals that are out there, are through trade-in credits. So, essentially, it makes the overall price of the phone cheaper. So, in my case, I have T-Mobile, and they gave us $830 uh, per line, we had to trade in the device. It really didn't make sense to keep my 15 Pro Max, especially if I was having issues with it. Those are my initial thoughts about the iPhone 17 Pro Max.",532,https://scontent-pmo1-1.cdninstagram.com/v/t51.2885-15/552179082_1733437240665261_8319209160826730417_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=scontent-pmo1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QHdwC4PuQMQjdocxNz45AxgtlSSakrXzL730YG5I76MnFQFwVIR1uB_rJVQDYP9r2M&_nc_ohc=i-h4SKG6td0Q7kNvwHpwl-x&_nc_gid=rZ5gLM8tONvw7iaQYmUPrA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Affo_SavepB1Xan7Vf108morwmCP3rCc3HJwNmRfiqJk-w&oe=68F461F2&_nc_sid=d885a2,,,,2025-10-14T19:33:58.656Z,2025-10-14T19:35:09.150Z,transcript_fetched
https://www.instagram.com/reel/DO0lWKJiMl0,iphone pro max,your.fave.teacher,Ehsan Parsa 🌎 Global Educator,#iPhone 17Pro Max 256 GB POV Unboxing 📚If my words resonate checkout my fifth book in my bio-link #storyonebookpromo,,5858,https://instagram.fiev13-1.fna.fbcdn.net/v/t51.2885-15/551822279_653497414075943_641385709206457844_n.jpg?stp=c0.105.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fiev13-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QEzJ0qSPuJ2auqaJp3pCzuuXoP4F4SyqPmfW_KwzAmZb2vzAoIrjJqBRtNuxFpF7d4&_nc_ohc=kIqXhOWO4CUQ7kNvwGZrrqx&_nc_gid=32Gg5XRIEoNi2T5pJHcVmQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdiYeu_zUiQWfl2RIO3Eq9OREz37fWFRJ-4Imc5V444lg&oe=68F47287&_nc_sid=d885a2,Flow Riyadh,,,2025-10-14T19:33:58.656Z,2025-10-14T19:34:44.195Z,hydrated
https://www.instagram.com/reel/DOzjw09DISS,iphone pro max,philiptamorria,𝑷𝒉𝒊𝒍𝒊𝒑 𝑻𝒂𝒎𝒐𝒓𝒓𝒊𝒂,"Quick test of my new IPhone 17 Pro Max. All of the footage was shot in standard video with no edits, filters or color correction etc. I’m happy with the low light performance, the improvements to the front facing camera, as well as having more storage. I went from 500G of storage on a 13 Pro Max to 1T on the 17 Pro Max. #iphone17promax #17promax #vlogging #newphone #apple #philiptamorria",,319,https://instagram.fruh4-4.fna.fbcdn.net/v/t51.2885-15/550838596_1079652943972444_9089974983875594906_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fruh4-4.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QH1_5BuLjbGyZeIXr3TUz6uwe46ciV9cgnf_maHnyXiTTyTdPL8yyMsgi-QA23KiIU&_nc_ohc=i6r5uS8pvv4Q7kNvwHfQLSR&_nc_gid=v15m1h2krhv9GLLcCASgNw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdGKx_ZwMmvehKFFNLGiGAXaQi8ZddseBacO_2YmWvQmQ&oe=68F468CA&_nc_sid=d885a2,,,,2025-10-14T19:33:58.656Z,2025-10-14T19:34:44.195Z,hydrated
https://www.instagram.com/reel/DPGazioDzwm,iphone pro max,vizagempire,Siva Rama Krishna Bandi,"Lifesaver in emergencies — when you’re in remote areas without mobile coverage, the satellite link can be critical.
.
.
@vizagempire for more updates 
.
#Apple #iPhone #Satellite #TechReview #GadgetLife #iOS26 #StayConnected #TechInTheWild #MobilePhotography #EmergencySOS #vizag #vizagblogger #vizagphotography #vizaglove #visakhapatnam #andhrapradesh #india #usa #newyork #america #apple #vizagdiaries #newyork_world",,932,https://instagram.fcgh23-1.fna.fbcdn.net/v/t51.2885-15/555043792_17861012856488990_7536376527933671397_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640_tt6&_nc_ht=instagram.fcgh23-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QEA9EruB50FkRDPenZI2wIyLkYyrRhHhTRmqIz8n7N4xWgDTuHEMh2n1SfYTnElads&_nc_ohc=X2yCIW42-t0Q7kNvwFMwZ2v&_nc_gid=oIiY-UqKo2KJwxmX3cjZfQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfejMz8_7258aL9lREFssb9Q7u5N1CJF7YnwNxA82XaJwQ&oe=68F45FCB&_nc_sid=d885a2,"New York, USA",,,2025-10-14T19:33:58.656Z,2025-10-14T19:34:44.195Z,hydrated
https://www.instagram.com/reel/DPggBAeDmbI,iphone pro max,echainzzzz,Erick Chanez,How does this look?📱🎥 #iphone17promax #iphone17 #iphone17pro #iphoneair #apple,,1175,https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/560428090_3269442103208406_7023718396599233348_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QFy9t2TSiIiI9gdI05VRgPlvZXA5YTZoNPw2fs6tBFpEuCpHO0STuJdLmO3uPFsGSE&_nc_ohc=Y9Tfp5j-kUQQ7kNvwG171Cl&_nc_gid=dwmK6G4Z8BZdpnxsiG2sdg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AffKM1QOvkE-JM-yZO_s50Vl3VotdoDsjoBWQU-RQrknbQ&oe=68F4793E&_nc_sid=d885a2,,,,2025-10-14T19:33:58.656Z,2025-10-14T19:34:44.195Z,hydrated
https://www.instagram.com/reel/DO7qRBEDh7k,iphone pro max,emrekara_e,Emre Kara ✨ Philly Content Creator,"This is why it’s worth every penny 🤫 

#iphone17
#iphone17promax
#shotoniPhone
@apple 

ps: To show the device’s full zoom capability, this was shot at 8x zoom in and 0.5x zoom out.",,23194381,https://instagram.fclj4-1.fna.fbcdn.net/v/t51.2885-15/552295451_1451198326098702_6933700728952325623_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fclj4-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QG728O2DcTDd-ViBwvDqXz0ct02BZgi8Ar_24VMwDD1jebIlJZlNu7vnUMMKPdjt44&_nc_ohc=ZcrpJ-96ZpEQ7kNvwGT_ceL&_nc_gid=HDlNPyj_emNrRs3z2Ntb4A&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afd6d5cPkB6UJdo-b-kFiiQ1551fnnajM0mB48sS0PTziw&oe=68F468B0&_nc_sid=d885a2,Madison Square Garden,,,2025-10-14T19:33:58.656Z,2025-10-14T19:34:44.195Z,hydrated
