url,keyword,owner_handle,owner_name,caption,transcript,views,thumbnail,location_name,us_decision,relevance_decision,discovered_at,updated_at,status
https://www.instagram.com/reel/DPesXy6gSLj,nike,cnbctv,CNBC TV,"Nike CEO Elliott Hill to discusses whether the company would ever manufacture its products in the United States.

Watch more at the link in bio.","Are we going to make the the sportswear and the sneakers in this country ever?
Uh well, I would never say never, because I do think there will come a time when, you know, technology is going to line up where we we could very well make product here, but it's going to take time. The the what is the, the hurdle is not the ability to manufacture, to make a factory, Well, it's the economics though, right? Well, it's the material sourcing. If you think about how many materials that we use in our product lines throughout a year, it's in the tens of thousands of different materials, and you've got to source those and stage them to do the manufacturing, and so there in lies probably the biggest hurdle is is uh material sourcing.
mm",1346,https://instagram.fdar10-1.fna.fbcdn.net/v/t51.2885-15/561514178_18095140510731665_1435186976864262580_n.jpg?stp=c0.420.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fdar10-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QEK9_jPTsLtMNmsfL16jrcVW6q2IFqJSiivPhkE_oTekSPAds2bDlz1ZmHbj_Fkftg&_nc_ohc=8QE1JYZxqYkQ7kNvwHpZfPI&_nc_gid=OKBxX9qZ6JSNsu3TX_aAwg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afdias2kl7VCesBdo-XtBT9AiOuBVvL9LBPk6aOsgOezbw&oe=68F2E12C&_nc_sid=d885a2,,,,2025-10-13T16:01:31.612Z,2025-10-13T16:03:05.941Z,transcript_fetched
https://www.instagram.com/reel/DLiSdSyta0D,nike,katoonieurope,جغرافیا اسپرت,"Nike United States 🇺🇸 

“Nike HyperSet 2”🇺🇸

New model 2024 🇺🇸

#nikevolleyball #نایک_اورجینال #نایک_والیبال #نایک 
#hyperset","1
00:00:00,000 --> 00:00:03,121
Give me some.

2
00:00:11,161 --> 00:00:17,321
See me up in the club posted in
the back got my things in my

3
00:00:17,321 --> 00:00:19,509
grave.

",303,https://instagram.fcor4-2.fna.fbcdn.net/v/t51.2885-15/510983910_1411356756736762_7345063810703974128_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fcor4-2.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QGyI4LaHrfM4DhqM-okgiE7AGFEXCLJfL9W0OZOh_8uRciA96o5pxrcQiKTXc5qZ1Q&_nc_ohc=BxDPcVVP0yAQ7kNvwHoC2ie&_nc_gid=CkS1FAWASDkCQZhXrUheKQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Affrb50vnXJWTxF7tNEBIpb1jmi6DzZPIHPG7t4dKiP3gw&oe=68F30033&_nc_sid=d885a2,,,,2025-10-13T16:01:31.612Z,2025-10-13T16:03:05.941Z,transcript_fetched
https://www.instagram.com/reel/DPd_0qjDdwj,nike,sketchbook_audio,"Ryan ""Sketch""","Never buying @nike products EVER again. AND, I will be taking all of the Nike shoes and clothing I have to goodwill today. 
I dont support supporters of a fascist regime. I refuse to support the unethical and illegal actions of DHS and ICE. 

AND @stellantisna your #dodgehornet almost got me and my 2 year old son killed twice.  And my friend and me on another occasion.  And you REFUSE to admit the car has problems, you refuse to fix it, and you refuse to take it back.  I have no problem giving my time and business over to @toyotausa or @chevrolet etc.",,25,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/560558483_18291288637257899_6940347485167041108_n.jpg?stp=c0.210.540.540a_dst-jpg_e15_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QHz0_i9y7F5cA4crwrt8l9CJWyfS_Z4VU2eJEznR3Rk1N3V0C7YKsagHclm3uj61u0&_nc_ohc=khLOM4e-LzcQ7kNvwEgUBZP&_nc_gid=ozF6-cPeF_-PF6SJUn4vCA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfcE0S04xVkleR21ID9SkNATcPc15FLAr_iayh6XFtEyBw&oe=68F2E43E&_nc_sid=d885a2,,,,2025-10-13T16:01:31.612Z,2025-10-13T16:03:05.941Z,transcript_fetched
https://www.instagram.com/reel/DPq9KDdEQiw,nike,ayytyran,Ayytyran you caught that..,"At the office 

@nike @jumpman23 holla at us 🤙🏾","1
00:00:09,001 --> 00:00:12,501
I

2
00:00:15,161 --> 00:00:23,781
the fire ribs, My **** yellow
right here. My old pair. ****

3
00:00:23,781 --> 00:00:27,141
don't look nothing like that.

4
00:00:29,661 --> 00:00:35,561
See the one of one. The green
leather laces. Got to have the

5
00:00:35,561 --> 00:00:41,681
the gear on there. You know
what I'm talking about? Mhm.

",286,https://instagram.fdac175-1.fna.fbcdn.net/v/t51.2885-15/563286043_18528741091020135_4918834036273684556_n.jpg?stp=c0.850.2188.2188a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fdac175-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QFgUwxQ1WvVhScZwFOn_xLiRuYRmN-W0DA-gaiX9TxVM0pDGMqMf5xIgxAuTZtQuwg&_nc_ohc=XrZcJN_BEEgQ7kNvwFP4fgX&_nc_gid=VDvql-aVbI7lN7pThOwbDw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afe2Elvsh9NLiFOW_mjrTvkSIDtG-peDUQ5MUOASlV4_Pg&oe=68F2DDC7&_nc_sid=d885a2,JetLife Apparel,,,2025-10-13T16:01:31.612Z,2025-10-13T16:03:05.941Z,transcript_fetched
https://www.instagram.com/reel/DB4t0ZTIsOB,nike,nikeartgallery,Nike Art Gallery,"I was truly honored to celebrate 50 years of artistic partnership between the United States and Nigeria, marking an incredible journey of creativity, cultural exchange, and lifelong friendships. Myself, alongside the legendary Professor Bruce Onobrakpeya, Chief Jimoh Buraimoh, have been privileged to travel to the U.S., showcase our art, and pass on our knowledge and traditions to new generations.

This celebration, hosted by the U.S. Consulate and the U.S. Embassy, highlighted not only our individual journeys but the profound impact of the Lagos-Atlanta Sister Cities partnership, a connection that has allowed artists from both nations to learn from and inspire one another.

Being recognised in my lifetime is deeply meaningful – often, artists receive such honors posthumously. I am filled with gratitude to witness this moment, to receive these 'flowers,' and to know our work continues to bridge cultures and elevate voices across continents. Here’s to many more years of artistic unity and friendship between Nigeria and America! 🇳🇬🇺🇸🌍","Omo iko kaku
Obe lo bi dangote
Ko ni lati ja go
Igba du aye kole
Mo ju
Ma bere lo ju
Son shine on everything you do
Omo nun mo le wa ku
Agu ti gbe baku
Ode fon se ni ja ju
Tatunde kaku
Ibi sele starando fun si ituation
Mo ma fi si omo trouble station
Se ge late ma tan duro
To play vibe parson to mo wa
Son shine on everything you do
Son shine on everything you do
Kilo bawun ki eti lo ba mi
Happiness won di wi
O my God
Light o gbe e gba
Ya lo lo ke
S'ti mo ni
Emi o mo lo reshey
Won ma ni shege shege
Don tie we are done see de
Abilide o ma yo bi layajude
Ta wo soke
Ami ta wo she
Ayin son mi anu ti gba lo
Je mo lo mo mi no be sodo
Mo ni ru eleyi sa soro
Sugbon aye le fun mi
Bese ma mi jo
Tio fun karate sa si
Bi jassi ebi classic
O ma si vaa boy from starting
Miami ile polo mi natty",12447,https://instagram.fcgp3-1.fna.fbcdn.net/v/t51.2885-15/465577765_437436725729895_6804125890018297564_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fcgp3-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QGML0rVpUQvRn3jvFZlUR17LxWwtBY1D9uY4X1v8N0iq-ME6_dQyRUBA6pmMFtSx1w&_nc_ohc=rgpbnxriqC8Q7kNvwHUWvV7&_nc_gid=u-yAoeOO4EGifputfLUQRA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfenQqjfNUwimf_-AU48iJrXtVMlvhxSmFn0FX9eUoYKPA&oe=68F2F58E&_nc_sid=d885a2,,,,2025-10-13T16:01:31.612Z,2025-10-13T16:03:05.941Z,transcript_fetched
https://www.instagram.com/reel/DJDDRiIpUjG,nike,complexsneakers,Complex Sneakers,"Nike is crazy for this one. The latest release from their Dot Swoosh division is the Air Force 1 ""Dirty Triple White,"" a shoe that looks like it's been stomped out and worn for months. The sneaker looks filthy brand new out of the box. Nike says the shoe's dirty look is part of a scratch-away exterior that gets ""cleaner, crisper exterior the more time you put in."" So we tried to clean them up. The Air Force 1 ""Dirty Triple White"" releases on May 7 for $130 exclusively via SNKRS in the US.",,667233,https://instagram.fdac22-2.fna.fbcdn.net/v/t51.2885-15/491466783_18506429146042168_5551141613220229580_n.jpg?stp=c0.499.1286.1286a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fdac22-2.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QFKpIDKhyMn-1nakeuKFHkn4B_WR2oaDNp8Wl75tr6MmldFrgVJuIlCYtQ5av6RfM8&_nc_ohc=doj0ITWdafYQ7kNvwEBLfQR&_nc_gid=JInP70Bvv8CFTreICaOOhw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfeVrs3lE6OVjHT6-41XPix0wdJlQXA2VBQt6shI9DfZXQ&oe=68F30659&_nc_sid=d885a2,,,,2025-10-13T16:01:31.612Z,2025-10-13T16:02:22.488Z,hydrated
https://www.instagram.com/reel/DPpegBckxnT,nike,supplystore,Supply®,Talking Shop with @nike SNKRS,,5819,https://instagram.fsra3-1.fna.fbcdn.net/v/t51.2885-15/562571408_18535086571004624_4119085023491604537_n.jpg?stp=c0.420.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fsra3-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QENw-ehnxIZ1Ul2zAUZnIEdc-hj0m8nAFKXicnfA58jKgj2khqDRMXQlP_lb4LFiq0&_nc_ohc=81Pd3VugEOgQ7kNvwEacLpR&_nc_gid=qa50oXX9Mc9x9ZDoSNIn0w&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdHQ-eKUSOa4wly3_F0BOIPu19aCBY_xSqQcZcPB6VmDw&oe=68F304A2&_nc_sid=d885a2,,,,2025-10-13T16:01:31.612Z,2025-10-13T16:02:22.488Z,hydrated
https://www.instagram.com/reel/DLpw01lNx8k,nike,katoonieurope,جغرافیا اسپرت,"Nike United States 🇺🇸

“Nike LeBron NXXT Gen “🇺🇸

🟢:جهت استعلام قیمت سایز خودتون و کامنت کنید 

#lebronnxxtgen #nikevolleyball #nikebasketball #نایک_اورجینال #نایک_والیبال",,353,https://instagram.fbhd1-2.fna.fbcdn.net/v/t51.2885-15/515286920_1068243134750022_5822841087411825911_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fbhd1-2.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QF7HVO-NAwVV98fCVzYJndWpg0tjomEUea46AvXHWzDTncNUgcG_OlgTa1HJBoiYT0&_nc_ohc=px-l2sKaTdUQ7kNvwFsCmb_&_nc_gid=uixwJIOtaGtJnfrRLE6nQw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfcjxVpmdxkjvVU_cpAUXYSnb6_WyZCKQP_don-b5xLT4w&oe=68F2DF99&_nc_sid=d885a2,,,,2025-10-13T16:01:31.612Z,2025-10-13T16:02:22.488Z,hydrated
https://www.instagram.com/reel/DPkkEzDDEiK,nike,tommy_liu_4,Tommy Liu,"Top 10 Nike Basketball Shoes of 2025 🔝🏁

-

Here are the best hoop shoes released by Nike / Jordan brand this year, ranked in order based on my experience:

10. S.T. Flare
9. A’One
8. Giannis Freak 7
7. Sabrina 3
6. KD 18
5. LeBron Witness 9
4. Air Jordan 40
3. Ja 3
2. GT Cut 3 Turbo
1. Luka 4

Let me know YOUR favorite shoes to play in from Nike right now! Are they still your go-to brand…? 🤔⬇️

-

#basketballshoes #top10 #nike #sneakers #hoopshoes #kickstagram #lebron #kd #sneakerhead #jordan #kicksonfire #top5 #nikebasketball",,30852,https://instagram.frix7-1.fna.fbcdn.net/v/t51.2885-15/561461088_793269393572711_1610697037207570418_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.frix7-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QHn-O-0wIWpxjJLguo_UQIZR-o0p0e0Ne7S0GuzeNHEVn2CQQxi4GfV25yPC8TeUWk&_nc_ohc=nJ9fKPRMcNQQ7kNvwHD5ZzN&_nc_gid=GrDla68aupkffpVzJfkIMw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfcewS1zzCsfZ3ZpSsazcYmjQroxEK9ZkGm5pK0qcDKyxQ&oe=68F2E48D&_nc_sid=d885a2,,,,2025-10-13T16:01:31.612Z,2025-10-13T16:02:22.488Z,hydrated
https://www.instagram.com/reel/DBoWv8aiDoM,nike,meetupparis,Sneakers & Clothes,Nike Air Force 3 Low SP Nigo Blanc OGIN Edition available in store 📍#meetupparis,,3980,https://scontent-jnb2-1.cdninstagram.com/v/t51.2885-15/504464189_1408616920217540_2416421500963226453_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640_tt6&_nc_ht=scontent-jnb2-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QGS2LNv-_UvaII9eXo9G9iOJU2tJN0EDA5YVG36XHR6UymzHkXbECH_ZSx5V4q4OgI&_nc_ohc=9e3SvaBoL-oQ7kNvwFT2uZD&_nc_gid=nmNuLRxstKW8hkzuCKEzow&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afer6SqJzxNmPr06t3yF52higLv8SbKJkwtYGIzy6EFNOA&oe=68F2F9A3&_nc_sid=d885a2,Meet up Paris,,,2025-10-13T16:01:31.612Z,2025-10-13T16:02:22.488Z,hydrated
