url,keyword,owner_handle,owner_name,caption,transcript,views,thumbnail,location_name,us_decision,relevance_decision,discovered_at,updated_at,status
https://www.instagram.com/reel/DO9AOH2AKF6,nutrition,repjahanahayes,Rep. Jahana Hayes,"The USDA announced the termination of the annual Household Food Security Report, critical data on hunger in the U.S. Without this report, insight into the scope and severity of food insecurity will be lost. Refusing to collect the data, does not make the hunger crisis go away.",,134,https://instagram.flyn1-1.fna.fbcdn.net/v/t51.2885-15/552541881_639629548974584_9182203080474880916_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.flyn1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QGWG8g3-rMBiziMejgm01b9i8X8vMwnh1olnVSgVtjVKdht0C1No00NA8SHAX4-wsw&_nc_ohc=kJYZjUYwqu8Q7kNvwGAa-pD&_nc_gid=oYdZwYm6Do_dd6GLOzrxVw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AffqzjGIzniIq0OOqX02JAsslmGb6U1Z01aQYSuMKFn1Mw&oe=68EEA77F&_nc_sid=d885a2,,,,2025-10-10T10:58:32.729Z,2025-10-10T10:59:53.358Z,transcript_fetched
https://www.instagram.com/reel/DN286GsWui3,nutrition,seckennedy,Robert F. Kennedy Jr.,"I’m leading a team at @hhsgov, along with @edsecmcmahon, targeting the woeful lack of nutrition education in medicine. We can reverse the chronic disease epidemic simply by changing our diets and lifestyles, but to do that, we need nutrition to be a basic part of every doctor’s training.","Hey everybody, I'm Robert F. Kennedy Jr., your HHS Secretary. Today, the Trump administration is demanding bold reform in our medical education system. I'm leading a team at HHS with the support of Secretary McMann at the Department of Education that targets a situation that everyone has long recognized as wrong, but no one has yet had the gumption to fix. It's the woeful lack of nutrition education in medicine. Poor diet drives America's chronic disease crisis, fueling seven of our ten deadliest conditions. Each year it claims an estimated one million American lives through diet-related illnesses. Meanwhile, we pour more than $4 trillion annually into treating these preventable diseases, and we continue to graduate physicians unprepared to confront their root cause. The good news is that diet not only causes these conditions, it can also prevent and reverse them. But for too long we've instead analyzed the chronic disease crisis, commissioned studies, and pontificated about the importance of nutrition without taking any meaningful action. Recent data reveals a critical disconnect. Although all medical schools claim to include nutrition in their curricula, most medical students report receiving no formal nutrition education throughout their entire training. This leads to a troubling reality. Most medical students recognize nutrition as necessary. Nearly all medical residents are asked to counsel patients about nutrition, but fewer than a quarter of practicing physicians feel adequately prepared to provide nutrition advice. We can reverse the chronic disease epidemic simply by changing our diets and lifestyles, but to do that, we need nutrition to be a basic part of every doctor's training. We'll start by embedding nutrition directly into college pre-med programs and testing it on the MCAT. Every future physician should master the language of prevention before they even touch a stethoscope. Under President Trump's leadership, we are going to systematically transform nutrition education throughout American medicine, from more than 200 of America's medical schools, 13,000 residency and fellowship programs, and ultimately each of the nation's 1.1 million practicing physicians. In the future, doctors won't just prescribe drugs, they'll be able to prescribe diets as well, confidently screening for diet-related diseases and collaborating with nutrition experts to recommend food-based solutions. Our reforms will save our country hundreds of billions of dollars and prevent millions of debilitating chronic diseases. This is an approach that is both radical and common sense. We're going to reconnect medicine with its roots. Hippocrates, the father of medicine, said, ""Let food be thy medicine, and medicine be thy food."" His advice remains true today, and we're bringing back food to its proper place in medicine. Produced by the US Department of Health and Human Services.",144085,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/539886535_17870827188424741_4688002993400416250_n.jpg?stp=c0.420.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QF9Jees5PnaRFA4Vyoea1h3ZUYelBznj7FMsnLVu5tKl4c77aoN5qEeyBzJiNcS7RY&_nc_ohc=EaeHmOjmCFYQ7kNvwHgCC_Y&_nc_gid=unncThsbWE2Zc9wYLEXQ9g&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afcxbk-vMZQfm0ho6BYe5tDC7BmWXDmwrxRLU4acb2pp_g&oe=68EECE46&_nc_sid=d885a2,,,,2025-10-10T10:58:32.729Z,2025-10-10T10:59:53.358Z,transcript_fetched
https://www.instagram.com/reel/DPFcksPEWXg,nutrition,secrollins,Secretary Brooke Rollins,"This week @usdagov proposed common-sense changes to more than double the healthy eating opportunities for our most vulnerable populations by strengthening the stocking requirements for retailers participating in the Supplemental Nutrition Assistance Program (SNAP). 

We’re seeking to raise the bar for stocking by: 
 
▪️Increasing variety requirements to seven per staple food category, more than DOUBLING the food choices required
▪️Closing loopholes that allow certain snack foods to count as staple foods
▪️Simplifying food classification, making standards easier for retailers to understand and @USDA_FNS to enforce
 
These changes will reorient SNAP towards better nutrition and emphasizing whole, healthy food for program participants. 

With the help of Dr. @RealBenCarson, who was officially sworn in this week as the USDA National Nutrition Advisor, we are delivering on @POTUS’s promise to turn the tide on chronic disease and MAKE AMERICA HEALTHY AGAIN! 🥗",,5078,https://instagram.fcgh14-1.fna.fbcdn.net/v/t51.2885-15/554081492_1124382415883024_5596984311304813445_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fcgh14-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QFu_luSpMCeC79RhLCIuYDf2J2FB-n3qMHOhOWFwX2Lf52MqJOydHOUQlNm_9TMb6Y&_nc_ohc=D5qvQpN60BUQ7kNvwERunIm&_nc_gid=IesfxUYRoIa828mdSovPZQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AffJEqvt_1WINd0ar1NZ2Te8-30NWOYt7tE7fp-70t3N0w&oe=68EEA949&_nc_sid=d885a2,,,,2025-10-10T10:58:32.729Z,2025-10-10T10:59:53.358Z,transcript_fetched
https://www.instagram.com/reel/DMJOYnjOHmP,nutrition,hhsgov,U.S. Health & Human Services,"“We are going to have dietary guidelines that are based on science, not based on medical dogma.” — @fda Commissioner Makary",,4008,https://instagram.fsla3-1.fna.fbcdn.net/v/t51.2885-15/520305795_1373567501127475_1363843260017146256_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fsla3-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QFgTcO_nqDDjO_VJvq9IaO70f3X01dV9gTEm5CNta9qY2SonyvkaKacUQxS_MG5g70&_nc_ohc=j5v6CBK-j34Q7kNvwG7YeX9&_nc_gid=LuuHZ8pqx_zJtK3vsPyIpg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfcUSimmbnKb6UYFvSof0nq-ZqhmgBl6DIsZchqwBbmfTQ&oe=68EEA520&_nc_sid=d885a2,,,,2025-10-10T10:58:32.729Z,2025-10-10T10:59:53.358Z,transcript_fetched
https://www.instagram.com/reel/DOZshKHDMKc,nutrition,seckennedy,Robert F. Kennedy Jr.,"Today, we released the Make Our Children Healthy Again strategy—the most significant reform of food and healthcare policy in modern history.",,209979,https://instagram.fpoa2-1.fna.fbcdn.net/v/t51.2885-15/546482882_607259535656433_4886408172131741004_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fpoa2-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QEJ1ZlUBOU5ByQFf5pboqQmcSshrxsrYF81mYK1Ta53wTPic6kUCpue_803aUBNYzU&_nc_ohc=v9-C5SYmTFwQ7kNvwGo3qNI&_nc_gid=XsvY102lyKgQCkKinJTmzQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AffnAO8Ik2hHDui0qEWISiPjfo94kV2dv5ZUFz94MFoboA&oe=68EEC581&_nc_sid=d885a2,,,,2025-10-10T10:58:32.729Z,2025-10-10T10:59:19.585Z,hydrated
https://www.instagram.com/reel/DJ9kpVAhyuA,nutrition,afiafeed,American Feed Industry Assn.,"The U.S. feed industry is a $250 billion powerhouse, fueling agriculture and the economy. With over 80,000 jobs across the U.S., it’s more than feed — it’s a force driving innovation, nutrition and global leadership. #AFIA #FeedIndustry #MadeInAmerica","The American Feed Industry Association and its members are committed to meeting the world's growing demand for meats, milk, eggs, and seafood. With over 5,600 manufacturing facilities and a dedicated workforce of over 80,000 across the country, the animal food industry is a quarter trillion dollar a year powerhouse. It plays an essential role in the US economy and global food chain. Visit afia.org to learn how to support global food security and health.",3,https://instagram.fbgw61-2.fna.fbcdn.net/v/t51.2885-15/503108133_1393886464987449_7577268611791944705_n.jpg?stp=c0.237.612.612a_dst-jpg_e15_tt6&_nc_ht=instagram.fbgw61-2.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QGZeBvjSTfjCcNx3KdaOiM6CJx8SFKNsw_vT8xa6bW1CFFwp6wkFj23l8y91AWSe_w&_nc_ohc=VLZwct3qoRUQ7kNvwG6Qc-D&_nc_gid=pIlO31QG50TCVEdJWtMoGQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdaEOm3uQmUn4zMdk0TfOpovVragPyHoqHrG3RIY9B0lA&oe=68EED4B2&_nc_sid=d885a2,,,,2025-10-10T10:58:32.729Z,2025-10-10T10:59:53.358Z,transcript_fetched
https://www.instagram.com/reel/DPSFtjBFU0d,nutrition,,,,,,,,,,2025-10-10T10:58:32.729Z,2025-10-10T10:58:32.729Z,pending
https://www.instagram.com/reel/DEx3YSNv7H2,nutrition,drjessicaknurick,"Jessica Knurick, PhD, RDN","The U.S. food environment, healthcare system, and social determinants of health disproportionately harm low-income populations.

As a result, health outcomes like obesity, chronic disease, and life expectancy show staggering disparities. Men in the highest income groups live 15 years longer than those in the lowest, and for women, the gap is 10 years (PMID: 27063997). 

Improving the health of Americans means focusing on those struggling the most. It means policies that make nutritious food accessible—not $48 olive oil, but produce that millions of Americans in food deserts lack access to. Nearly 14% of U.S. households, including 1 in 5 children, face food insecurity, where they can’t consistently get the food they need to meet basic nutritional needs.

It means expanding healthcare access, funding nutrition programs, and addressing economic stability and other social determinants of health—evidence-based solutions that benefit everyone, not just the wealthy.

Any movement claiming to “make America healthy” while ignoring these systemic issues isn’t genuine. And when that movement is led by wellness influencers profiting from expensive supplements, detoxes, and cold plunge pools—rather than public health experts - it’s even less genuine. 

#wellness #maha",,1049274,https://instagram.fmii3-1.fna.fbcdn.net/v/t51.2885-15/500640610_694486439843094_6535456933225916697_n.jpg?stp=c0.420.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fmii3-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QHONwduDv6NHvEouzhJQ90EjQkLeluu-3W9QMzJR81ZMl2JglxSotOsx9zdu7buSaw&_nc_ohc=UuGHXe8u_sAQ7kNvwFONTAO&_nc_gid=0bnoroB91-LtAioJPzo3nw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfceqmCJUEEobDWZdU2XzLcNdX5kKK9ES30vNM9VXwxlPw&oe=68EEC384&_nc_sid=d885a2,,,,2025-10-10T10:58:32.729Z,2025-10-10T10:59:19.585Z,hydrated
https://www.instagram.com/reel/DO815jwgZ-6,nutrition,seckennedy,Robert F. Kennedy Jr.,"@acf_gov is unleashing more than $60 million to power up 290+ @headstartgov programs nationwide—boosting nutrition education like never before. 

At @hhsgov, we’re making sure Head Start also means a healthy start.",,103697,https://instagram.fdel1-8.fna.fbcdn.net/v/t51.2885-15/552421571_17874010173424741_7130408492515118014_n.jpg?stp=c0.420.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fdel1-8.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QGNrNNitLGrHxYwp7wTL0tasFS_jkc1qPLliD15TxoNk8qUyceY6WOvQXpyykTtNeE&_nc_ohc=t-ep8XgOK3IQ7kNvwG5oddg&_nc_gid=OdIq2EHXzgWmMn5T86ca_w&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfcFNuo9CKVUJiIJxv_mNzpFVcoVuDy8akDD2sP2nduMsQ&oe=68EEA458&_nc_sid=d885a2,,,,2025-10-10T10:58:32.729Z,2025-10-10T10:59:19.585Z,hydrated
https://www.instagram.com/reel/DOjjF43AklY,nutrition,eatright_pro,eatrightPRO,"🔥 Explore the ultra-hot topic of ultra-processed foods (UPFs) with Academy spokesperson Caroline West Passerrello, EdD, RDN, LDN!

📽️ ICMYI, for each topic in our Nutrition Fact Check campaign, we’ve got a short explainer video for consumers by our spokespeople.

👉 Head to sm.eatright.org/UPFs (link in bio) for more UPF info, including:

🔗 Our new practice trends article for practitioners, including a list of sources and our Summary of Science PDF.

📄 Link to eatright.org article on processed foods for consumers.

⬇️ A one-pager for your patients and clients, and more on the campaign!

#UltraProcessedFoods #eatrightPRO #dietetics",,406,https://instagram.feze8-2.fna.fbcdn.net/v/t51.2885-15/545367915_18290534560281448_737608220243783062_n.jpg?stp=c0.420.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.feze8-2.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QHUkQx1EFig4o3quui7GXI9n9_1rj8u7ap0fbUrypzMM2bznyK3EO6FSC61EFywu74&_nc_ohc=9n2mahSy_cwQ7kNvwGHuSdn&_nc_gid=Dbbp14zuzM2LCMoJ_VcTGA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afe3QuWbgam5nCVKwxEC_HFckYgGm6LOcg-GPJR2WZNwuA&oe=68EECE78&_nc_sid=d885a2,,,,2025-10-10T10:58:32.729Z,2025-10-10T10:59:19.585Z,hydrated
