url,keyword,owner_handle,owner_name,caption,transcript,views,thumbnail,location_name,us_decision,relevance_decision,discovered_at,updated_at,status
https://www.instagram.com/reel/C_7_wm7NN8s,nykaa fashion,caseology.startups,Caseology,"Nykaa, a beauty and fashion ecommerce company has been pulled down by Kotak Institutional Equities in this quarter as the company faces issues related to the increase in fulfilment cost and competition from the players in the quick commerce space. The brokerage has reduced the fair value by INR 5 to INR 190 and cut its EBITDA estimates for the next three fiscal year.

.

.

🔗 To read more, click on the link in bio!
.

.

#nykaa #ecommercebusiness #downgraded #beautyproducts #profit #majorboost #expansion #breakingnews #startup #entrepreneur #millionairemindset #casestudy #business #marketing #strategies #startups #entreprenuer #startupnews #business #inspiration #watchthisspace #businessnews #branding #growth #funding #strategy #caseology #caseitaceit",Storm.,36,https://instagram.fbom36-1.fna.fbcdn.net/v/t51.2885-15/503379710_3145130718961462_964220356770129561_n.jpg?stp=c0.457.1180.1180a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fbom36-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QF7Z5u6-kH3s12_70qOJp1Po4hQIeqssfd3dpFZFAYE1GAdfVr1diU0IkCDUcnxmpI&_nc_ohc=FcqW2zXGcIMQ7kNvwF8P4hm&_nc_gid=6nZM1og_V0Gp-sieZKBoTQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AffOttSxSgHTbqKgqQYKovyod63BmwNq6QYqEPwULcL4vg&oe=68F2E908&_nc_sid=d885a2,,,,2025-10-13T15:57:11.740Z,2025-10-13T15:57:54.210Z,transcript_fetched
https://www.instagram.com/reel/DIN_KXss6aW,nykaa fashion,madaboutmarketingg,Mad About Marketing,"From catwalk to forecast—Sharvari & Sheeba Chaddha bring the sass and sunshine in Nykaa Fashion’s latest ad ☀️👗
Get ready to slay the heatwave with outfits hotter than the temps!
Because fashion isn’t just what you wear—it’s how you predict the season 😎

#NykaaFashion #StyleForecast #SummerLooks #SharvariWagh #SheebaChaddha #SassyAndStylish #madaboutmarketing #madaboutmarketingg","My little sunshine. Itni der kyu laga di aane me? I just want to know what's my fashion kundli.
And, and what are the new trends I should be buying? I see, I see polka dots, spot on! I see! I see frilly tops, yes, yes.
Denim on denim, denim on denim, denim on denim.
Where's what's next on Nykaa fashion? Latest trends all in one place. Shop now!",624,https://instagram.fres2-1.fna.fbcdn.net/v/t51.2885-15/489687900_18038999990643236_8776632143087373227_n.jpg?stp=c0.420.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fres2-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QHMq58cXF2bXuZmyhIeToFsRcitFed-C7Jlaswz4UyaoU6NH2982GMpRlr-WyphZbI&_nc_ohc=Cy0dTIuwk1wQ7kNvwEogwR3&_nc_gid=fZI_I1ku9S5d6kQ4VviGiw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdXTnowPienOwN9OuTWSaluni1u9hNkbj0To0UYwoM_dg&oe=68F2D952&_nc_sid=d885a2,,,,2025-10-13T15:57:11.740Z,2025-10-13T15:57:54.210Z,transcript_fetched
https://www.instagram.com/reel/C_na4DBOjLU,nykaa fashion,thewomenpreneurind,Womenpreneur India,"Nykaa on Friday announced the appointment of Sukhleen Aneja as Senior Vice President and Business Head for Kay Beauty.Kay Beauty is Nykaa’s celebrity beauty brand launched in partnership with Katrina Kaif.
Read full article , Link in bio.

#Nykaa #kaybeauty #SukhleenAneja #businessheadshots #SeniorVicePresident #katrinakaif #BeautyIndustry #leadershipannouncement #celebritybrand #nykaaupdates",,1490,https://scontent-gru1-1.cdninstagram.com/v/t51.2885-15/497495873_1034205152022484_5852812276923211835_n.jpg?stp=c0.124.320.320a_dst-jpg_e15_tt6&_nc_ht=scontent-gru1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QEZWjPJV_J7qC9jOX_V3I7DC6IScSWf7Zf22g9WtG-4TpFuzcIR2pwOklr9Os9da8s&_nc_ohc=EkYHUiXv9iEQ7kNvwFSjehp&_nc_gid=lmWdGGKie-6l5x2N1h6x0Q&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afe5JkmA1k32fi_wa36jmkQyIRCrjMU1Xg2IbdJyva5npg&oe=68F2EB14&_nc_sid=d885a2,,,,2025-10-13T15:57:11.740Z,2025-10-13T15:57:54.210Z,transcript_fetched
https://www.instagram.com/reel/DBjXX13StYM,nykaa fashion,thefeaturist,Bhakti Chuganee,Nykaaland 2.0 is finally here at the Mahalaxmi Race Course from October 25-27. #nykaaland #nykaa #nykaabeauty #charlottetilbury #maxfactor #lakmé #ceraveskincare #toofaced #kay #beminimalist #ponds #lauramercier #maccosmetics,"(Upbeat, bouncy music)",137,https://instagram.fbzy1-1.fna.fbcdn.net/v/t51.2885-15/504187056_919914070247639_1410124004964765854_n.jpg?stp=c0.420.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fbzy1-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QG3k3UK9pgmQ09sneNal2ngkH0dxufTOC7jIl9dIo8Z2mT7VlgNbMRNDUoeMEXEYNU&_nc_ohc=R_3DlEixTMwQ7kNvwHCzuYP&_nc_gid=p81Tpz2PgcpLoCYNBt9rQg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfcUx8DHf2ahbTDwE9ithDNED1oT9qdwHMFEilY4wKRhHQ&oe=68F302B5&_nc_sid=d885a2,,,,2025-10-13T15:57:11.740Z,2025-10-13T15:57:54.210Z,transcript_fetched
https://www.instagram.com/reel/DLg3eBsImUg,nykaa fashion,zora_themall,Zora The Mall Raipur,"Made to feel like you, @nykdbynykaa is now open at Zora The Mall! ✨🤩

Discover innerwear that fits, supports, and moves with you, because confidence starts with comfort! 

📍Zora The Mall, Serikhedi, Jora, Raipur, Chhattisgarh.

(Nykd by Nykaa, Intimatewear, Women’s Essentials, Zora, Raipur, Largest Mall, Zora The Mall, PVR LUXE, Shopping, Entertainment)",,196,https://instagram.fisu4-4.fna.fbcdn.net/v/t51.2885-15/515096200_17869524810395336_8414094288338158516_n.jpg?stp=c0.303.780.780a_dst-jpg_e15_s640x640_tt6&_nc_ht=instagram.fisu4-4.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QHev1M2BkXIHwHK_WYkia8YSwF8fLSWDhitEYqsYhLWH4VBsAxhTFVdAjiExf6HFVU&_nc_ohc=Z05dpyyLfYoQ7kNvwHPdko-&_nc_gid=OCZnhckdlVEJaqvL7mFLZQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Aff6WNxddwhAEl0F--ISvkM-ClTz0zmUZbiJjRDpfjphaw&oe=68F2F837&_nc_sid=d885a2,Zoraa The Mall,,,2025-10-13T15:57:11.740Z,2025-10-13T15:57:54.210Z,transcript_fetched
https://www.instagram.com/reel/DPi2ja5jW4k,nykaa fashion,im.richasharma,Richa Sharma🍀,"If they want to paint you as a villain, then pose darling😎

#explore #explorepage #fyp #reelsinstagram #reels #loveyourself #reels #instagram #insta #gemini #prompts #prompt #geminitrend #viral #google #reelkrofeelkaro #festive #festivelook #trend #trends #follow4follow #girlsgirl #girl #girls #shotoniphone #foryou #foryoupage",,253,https://instagram.fadd2-1.fna.fbcdn.net/v/t51.2885-15/562950245_18427416454100216_3783965688678563130_n.jpg?stp=c0.223.577.577a_dst-jpg_e15_tt6&_nc_ht=instagram.fadd2-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QHA592NkiPuTVoR_HSQfbgWfTtiK2c5zto6xJRaBVOTllmvgVl8aDUtgntPTRYYEM4&_nc_ohc=3EGaqQHz69cQ7kNvwHlbSub&_nc_gid=LG332j8csItb0XiwrrIFEA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdVZV5z6fRf5G5-dFJmniE5s1GIm0PwaW_2FbDgiS3OIg&oe=68F2F7B8&_nc_sid=d885a2,Somewhere On Earth,,,2025-10-13T15:57:11.740Z,2025-10-13T15:57:32.602Z,hydrated
https://www.instagram.com/reel/C4va-Izp0WU,nykaa fashion,_salonii_shah_,Saloni S Shah🧿,"If your aesthetic is same as mine, then you’ll surely fall in love w @kina.label ‘s mind blowing collection. Ditch your plain boring outfits & elevate your look by upgrading your wardrobe by this brand. It’s a slow & sustainable homegrown label that uses the best fabric. Be the headturner wherever you go✨ 
Go to their website & don’t forget to share this reel with someone who’d love these outfits & would look stunning in them!! 

[ honest reviews, non sponsored review, homegrown label, home grown label, sustainable clothing, sustainable fashion, slow fashion, small business, Indian small business, women owned small business, support local, support sustainable fashion, kina label ] 

#slowfashion #sustainablefashion #homegrownlabels #slowfashionmovement #supportsustainablebusinesses #smallbusiness #smallbusinessfinds #nonsponsored #nonsponsoredreview #honestreview #homegrownbrands #kinalabel #label #indianfashion #indowestern #grwm #meeshofinds #grwmforwedding #brotherswedding #flowyoutfits #findyourfit #allsizesarebeautiful #haldioutfit #haldioutfit #indianoutfitideas #blowthisup #supportsmallbusiness #explorepage",,7174,https://instagram.fgig20-1.fna.fbcdn.net/v/t51.2885-15/501290572_1375597423707736_6465453173535904742_n.jpg?stp=c0.882.2268.2268a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fgig20-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QG3cznj18i4e5g-IqB5Sm_WNsAzhUxii7_WhmyTw5ZH7iM6-KrzGCR-wI2wiTPX2JQ&_nc_ohc=_b5FN5nY0KUQ7kNvwHBjhym&_nc_gid=9roTtPzzdaJCwYfKMSpccw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdEA4smI3qsDqCZe4Qs72RcGe9YS7KU9t41_OEVSqq3RA&oe=68F3032A&_nc_sid=d885a2,,,,2025-10-13T15:57:11.740Z,2025-10-13T15:57:32.602Z,hydrated
https://www.instagram.com/reel/C5SlW3WJuTW,nykaa fashion,miss_manchandaa,Garima Manchanda,"Phoenix United Mall located in Alambagh offers a diverse range. Range of popular brands including Nykaa sugar, colorbar. Moreover, the ground floor of the mall is dedicated to hosting engaging activities.
My personal experience at the mall was incredibly positive and I would highly recommend a visit to anyone looking for an enjoyable shopping.

#pheonixunitedlucknow #pheonixunited 
#nykaa #nykaacosmetics #nykaaontrend #nykaabeautybook #nykaabeauty #nykaafashion #sugar #sugarcosmetics #colorbar",,1503,https://instagram.fktm18-1.fna.fbcdn.net/v/t51.2885-15/502138333_915114107383036_3271880244530178768_n.jpg?stp=c0.502.1290.1290a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fktm18-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QEAGf2ow1OvHdD_-5A9C6K0iRPTuI1T9rSKCXWk-8Pl-aIYAQAri5pA2rIDOFH6xds&_nc_ohc=UPxxZuhlhicQ7kNvwGU9qmP&_nc_gid=89mpoHN6yWPC6Og0E8SUhw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdECQaJP4YcxUv-fyWt0kG4hAizgr2lpPMR1DhMSejhrA&oe=68F2F68B&_nc_sid=d885a2,,,,2025-10-13T15:57:11.740Z,2025-10-13T15:57:32.602Z,hydrated
https://www.instagram.com/reel/DBtJllrq0DG,nykaa fashion,yuvikapanchall,Yuvika Yatin Panchal,"So glad to be a part of Nykaaland’s magic✨🩷🧿
.
.
.
.
Nykaaland, Nykaa, Beauty, Makeup, Festival, Trending
#nykaaland #foryoupage💙 #nykaaland2024 #fypシ #reelsindia #nykaa #nykaafashion #mynykaa #nykaabeauty #reelsinstagram #trendingaudio #explorepage #borabora #fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp",,3924,https://instagram.fpmg1-1.fna.fbcdn.net/v/t51.2885-15/503033297_1045743693803374_6529942224887566775_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640_tt6&_nc_ht=instagram.fpmg1-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QGjI8QPDp2aAMwMMTSP2ULFghIqBaSHtr4BfujVVMY8KjQJ7ioIW-bAXDcKjNvThGU&_nc_ohc=MXwiRKYyRYYQ7kNvwGS6z_e&_nc_gid=lQmA3UgL-z4A8pYHJsLNFw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfcmOsBFwc5LWh9nKFYkLCoIlS-3cmuLNfsbuWR22ITXXA&oe=68F2F7C5&_nc_sid=d885a2,Mahalaxmi Racecourse,,,2025-10-13T15:57:11.740Z,2025-10-13T15:57:32.602Z,hydrated
https://www.instagram.com/reel/DO_FRJgj1m9,nykaa fashion,gud.gum,Gud Gum | Planet-friendly chewing gum,"Who knew chewing plastic all this while was a thing? 🤯 Meet Gud Gum — India’s first plastic-free, sugar-free, vegan gum. And guess what? The Shark Tank folks believed in us so much, they invested. 🦈 Ready to chew change? 💚 #GudGumRevolution
.
.
.
.
.
#GudGum #PlasticFree #VeganGum #SugarFreeGum #EcoFriendlyLiving #SustainableChoices #ZeroWaste #CleanChew #HealthyMouth #EarthFriendly #VeganLifestyle #EthicalBrands #SharkTankIndia #StartupLife #IndianStartup #BetterChew #PlasticFreeIndia #PlanetOverPlastic #GumRevolution #ChewGreen #HealthAndWellness #EcoWarrior #MindfulConsumption #NaturalProducts #EcoBrands #GreenProducts #SustainableBrands #OrganicLifestyle #CleanLiving",,2632,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/553312780_1113858537627282_2937851050285228364_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QEmdIJfa5k1X6BZ7qhtflPVRrzEE9LLs32Zec0qIdWQwveNTEXu-aShaqo7iSHxrPQ&_nc_ohc=lhnS39RB5_QQ7kNvwGTjAH5&_nc_gid=H3chymVUn8hJlkzQx5NGMg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdTGl96rOIiJ6LAwAh1hNh1QQwBuaAWNHiSYZLyeDrGYA&oe=68F2D8FC&_nc_sid=d885a2,,,,2025-10-13T15:57:11.740Z,2025-10-13T15:57:32.602Z,hydrated
