url,keyword,owner_handle,owner_name,caption,transcript,views,thumbnail,location_name,us_decision,relevance_decision,discovered_at,updated_at,status
https://www.instagram.com/reel/DM07MKLzsIj,pilates workouts,maggie.steffens,Maggie Steffens Conner,"One of my biggest icks: ankles touching! Anyone else ?! Also… this wind in the video…

Working on that new home fitness routine & getting creative from my new home in Marin - finding that Pilates grind 💪🏼",,3788,https://scontent-mba2-1.cdninstagram.com/v/t51.2885-15/527231220_18519096793026703_5291187643967301104_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640_tt6&_nc_ht=scontent-mba2-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QGXvr3wdQB4h2pkUYavO4yYOs0JBaBZqJYnQg8VAjFiEkXmauPB73skPQePgq_n864&_nc_ohc=SULraNVzNMkQ7kNvwFptEfd&_nc_gid=Q3f3KEnNs_JxPohkZvSsqw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AffL5tfrn7BZglmf3X5KkWhjxXpbSXItpB1GD_oJFIe2nw&oe=68EECE09&_nc_sid=d885a2,,,,2025-10-10T10:36:16.748Z,2025-10-10T10:37:03.469Z,transcript_fetched
https://www.instagram.com/reel/DLrxJz3AJt5,pilates workouts,erica.almodovar,Erica Assis Almodovar,"🌟Mountains Climb on the Wunda Chair
🇺🇸
- One of the very challenging intermediate exercises on the Wunda Chair is Mountain Climb.
- Many don’t realize that this exercise turns around for an even more challenging version called Reverse Mountain Climb. 
- Both can be practiced on the High Chair for added support by holding the sides of the chair and more spring resistance. 

🇧🇷
- Um dos exercícios intermediários mais desafiadores na Cadeira Wunda é o Mountain Climb.
- Muitos não percebem que este exercício se transforma em uma versão ainda mais desafiadora, chamada Reverse Mountain Climb. 
- Ambos podem ser praticados na High Chair para maior suporte, segurando nas laterais da cadeira e aumentando a resistência das molas.

🇪🇸
- Uno de los ejercicios intermedios más desafiantes en la Silla Wunda es la Mountain Climb.
- Muchos desconocen que este ejercicio se convierte en una versión aún más desafiante llamada Reverse Mountain Climb. 
- Ambos se pueden practicar en la High Chair para mayor soporte sujetándose a los lados de la silla y aumentando la resistencia del resorte.

#pilates #pilatesinstructor #pilateslovers #pilatesstudio #inspiration #classicalpilates #authenticpilateslearningcenter #aplcbrasil #aplcusa #aplcespaña",,215,https://instagram.ffna3-1.fna.fbcdn.net/v/t51.2885-15/515402330_759604263080179_2411060191383033103_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.ffna3-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QEBPKyS5wa66Jj2RLLYMYusI1cEePZPcnB6mPamoo7oR45YVljP85LWO0W364vjqmw&_nc_ohc=LSgv__m72bIQ7kNvwFDkxbl&_nc_gid=HJZv8nKcjb4j2vtgbXCo3Q&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdGdUc3XM1SqPhJa9Dzl5lC1DLB8fCt1ytOUEAxKuu0tg&oe=68EEC0CD&_nc_sid=d885a2,Authentic Pilates Learning Center,,,2025-10-10T10:36:16.748Z,2025-10-10T10:37:03.469Z,transcript_fetched
https://www.instagram.com/reel/DOaOGQzDig6,pilates workouts,tzoneoc,TZONE OC | Pilates & Fitness,Insider tip: Pilates isn’t just reformer. We love combining the mat and reformer for a well rounded workout routine 🙌🏻,,150,https://instagram.fdac11-2.fna.fbcdn.net/v/t51.2885-15/545263396_4045807662306129_8867564045029354839_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fdac11-2.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QGacCn-zijokJ7uDpTmeK0HWqicqJxaYQmND7CKG_js31oTNVKan7Qkr4RdyvXQhos&_nc_ohc=GOQ7adjpxGQQ7kNvwGPUfw2&_nc_gid=4K6yH99KZq3jLbdTtp0bMg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afc48rS8JuW8MKGOV3uU6L1zBLfCgzb290XE3rt3vRDZ4A&oe=68EEB31D&_nc_sid=d885a2,TZONE Fitness & Pilates,,,2025-10-10T10:36:16.748Z,2025-10-10T10:37:03.469Z,transcript_fetched
https://www.instagram.com/reel/DHPSUtaSHGF,pilates workouts,jennifermartinusc,Jennifer Martin,"P I L A T E S 💙R e f o r m e r 

Here are a few “classical Pilates” exercises designed by Joseph Pilates for the Reformer. 

During World War I, Pilates, who was living in England, was interned as a German ""enemy alien"". He used this time to develop his fitness program, which he later called ""Contrology,"" focusing on mind-body connection and core strength. 

While in the internment camp, Pilates began teaching his fitness methods to fellow internees, and later, he worked as an orderly in a hospital on the Isle of Man, where he developed his apparatus by attaching bed springs to hospital beds to help rehabilitate patients unable to walk. 

The springs he used to help patients move and strengthen their muscles while bedridden became the inspiration for the iconic Pilates Reformer. 

After the war, Pilates returned to Germany and continued to study fitness and movement, eventually collaborating with experts in dance and physical exercise. He later emigrated to the United States, where he and his wife Clara opened a studio in New York City, where he worked with dancers and athletes. 

Today, Pilates is more popular than ever because it helps with everything. It’s one of the best workouts for your mind and body. Make sure you work with a certified Pilates teacher who has experience. 

🔸First Video: 
Footwork-“running or prancing”. I like to do a set with the pelvis neutral & another set with the pelvis lifted a few inches off the mat. The footwork exercises were meant to activate all the important muscles in our feet similar to acupressure. The feet are responsible for three quarters of our body & help with balance. 

🔸Second Video:
“The Shoulder Bridge” which is a great way to work your glutes and back while stretching the front of your hips and shoulders. Adding the magic circle and light dumbbells makes it even tougher. 

🔸Third Video:
“Feet in Straps”-Leg Circles are a favorite for most Pilates lovers because it massages our hips and feels amazing. 

🔸4th Video
“The Shoulder Bridge” w heels together toes apart. 

#fitness #pilates #instagood #health #pilateslovers #focus #core #pilatesreformer #classical #instagram #health #workout #josephpilates #love","Oh, no. 
Who can you tell me was it worth it?
Baby I don't wanna know.

Talk has the smell on you.
You won't forget me.",138,https://instagram.ftnr4-2.fna.fbcdn.net/v/t51.2885-15/503780479_585296927508606_1698299574854561351_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640_tt6&_nc_ht=instagram.ftnr4-2.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QF_kAN5GPBI1DJKM7KnxloYP_BvPyX30rurzQR4ICg6WP-gg2J4B2iY-Z4ecQnqcbg&_nc_ohc=l2dMw1OiCrQQ7kNvwG3XK38&_nc_gid=ST0lHkNESsmoOL0FYdc9ZA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdZzaLWlRhxTMkQf9OvqLfce7gPjMJGM7spsUjohRiQJg&oe=68EEC440&_nc_sid=d885a2,Harmony Studios Pilates,,,2025-10-10T10:36:16.748Z,2025-10-10T10:37:03.469Z,transcript_fetched
https://www.instagram.com/reel/C4obs6UgE9S,pilates workouts,erica.almodovar,Erica Assis Almodovar,"🌟Rolling In and Out

- One of my favorite exercises that combine so much strength and length.

- Um dos meus exercícios favoritos que combina muita força e alongamento.

#pilates #pilatesworkout #teachersneedteachers #pilatesstudio #authenticpilateslearningcenter #pilatesfit #pilatesstrong #lovewhatyoudo #dowhatyoulove #pilatesinstructor #pilateslovers",,3106,https://instagram.ftpe7-3.fna.fbcdn.net/v/t51.2885-15/502987710_2722390637952224_1517901020792305621_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640_tt6&_nc_ht=instagram.ftpe7-3.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEZyDggG3vIdOw69HJZvlpQTYCepyy-s9_LSjsTcvz86BuzNUWBjifbcDK77mFhveo&_nc_ohc=p3kjqTENWXAQ7kNvwHWVPjJ&_nc_gid=l23ZrN69powKquX_R1iQoA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AffSmgXY11AOAxRfG5la6yeHRvE8OcFtAn_DwPHsgMiECw&oe=68EE9E2C&_nc_sid=d885a2,Authentic Pilates Learning Center,,,2025-10-10T10:36:16.748Z,2025-10-10T10:36:41.438Z,hydrated
https://www.instagram.com/reel/DMqcK7hP1je,pilates workouts,goldsgymeastnorthport,"GOLDS GYM - EAST NORTHPORT, NY","Find your strength, lengthen your body, and reconnect with your core at our Pilates class. Join us on the mat — Thursdays at 5 PM & Sundays at 8 AM. #goldsgym #eastnorthport #strongerstartshere #pilates",,423,https://scontent-icn2-1.cdninstagram.com/v/t51.2885-15/525193342_1920609052036551_539992425229761468_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=scontent-icn2-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QGPQAjSXSIJhxTF-MfaYc1uxc3YDJx9gc3DEqxrPcu1GfTMH-lBuRmwewP5ZtUUrUo&_nc_ohc=O-t8HaJDEk8Q7kNvwEckJfr&_nc_gid=21BjqTkVxyOcks_7-r3wPQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfcNssTNsMgQRFD9vhFHR7-y_3k1egsIzaC_xLOVvUS7Wg&oe=68EEA957&_nc_sid=d885a2,"Golds Gym - East Northport, NY",,,2025-10-10T10:36:16.748Z,2025-10-10T10:37:03.469Z,transcript_fetched
https://www.instagram.com/reel/DOJnWFtjoVY,pilates workouts,kinesispilatesdenver,Kinesis Pilates,"💫Stronger, longer, more connected 💫
This intermediate reformer class challenges you to take your practice to the next level. Expect dynamic movement, deeper core work, and flowing transitions that keep your mind sharp and your body engaged.

Pilates isn’t just exercise—it’s a practice in precision, control, and building strength from the inside out. 💪🖤

Have you gotten your Pilates in today? Book your spot and feel the difference at Kinesis Pilates.

#kinesispilatesdenver #ClassicalPilates #ReformerPilates #IntermediatePilates #PilatesPractice #PilatesBody #MindBodyConnection #PilatesEveryday",,242,https://instagram.fdel5-3.fna.fbcdn.net/v/t51.2885-15/539965362_771928842671128_6008689481598184442_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fdel5-3.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QF_8pVP-OxyAguxnlwGR5cQfiaFWDb4yCqFwV5_QB3yLtKsTSsnWMIRE-fdmQB6T1o&_nc_ohc=jThLoQ6_7QUQ7kNvwEyIR5h&_nc_gid=PLi-xAW8EknodbZqb9-MZw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Aff014dENofSrJocGorpyCL_SRRJzYynV-7YLc5cr1kC2w&oe=68EEB088&_nc_sid=d885a2,Kinesis Pilates,,,2025-10-10T10:36:16.748Z,2025-10-10T10:36:41.438Z,hydrated
https://www.instagram.com/reel/DLBAGL4Jm42,pilates workouts,montefiorehealthsystem,Montefiore Health System,"Stay Strong, Steady, and Flexible (At Any Age) With Pilates! 

Pilates is a gentle, low-impact way to build strength, improve balance, and boost flexibility—especially helpful for older adults looking to stay active and independent.

Regular practice can:
✔️ Reduce the risk of falls
✔️ Support posture and core stability
✔️ Ease joint and back pain
✔️ Improve everyday mobility

You don’t need fancy equipment to start—Pilates can be done on a mat, a reformer, or even from a chair.

Before beginning any new exercise routine, be sure to talk with your doctor to ensure it’s right for you.

#MontefioreEinstein #PilatesForSeniors #HealthyAging #StayStrong #LowImpactExercise",,22007,https://instagram.fuio1-2.fna.fbcdn.net/v/t51.2885-15/506416038_18512584921026457_2203568555291200250_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640_tt6&_nc_ht=instagram.fuio1-2.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QGMDVYkjCEfwmhF77IRokwDLpKsdLInTPTJQbcYCv78KQKbSgwMItYT0hSJV3R0y6w&_nc_ohc=aA2Tdj4rdYwQ7kNvwHbNQh0&_nc_gid=sDyy4b6o1cgz0Mb-3DJ-mA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfeN5wv5Pr8oFcZa5pi5QGLAiOGQyv2GW58j4M2mc9x6wA&oe=68EEB846&_nc_sid=d885a2,,,,2025-10-10T10:36:16.748Z,2025-10-10T10:36:41.438Z,hydrated
https://www.instagram.com/reel/DOUuQ42jug9,pilates workouts,erica.almodovar,Erica Assis Almodovar,"🌟Pilates Reformer Workout

Tendon Stretch - High Frog - Head Stand Front/Back

👉🏼 Online Workshop September 20 via zoom
👉🏼Workshoo online English & Portuguese 

DIGITA “ EU QUERIa",,1931,https://instagram.fsgn5-5.fna.fbcdn.net/v/t51.2885-15/543761493_1874130729835892_4818347569415308418_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fsgn5-5.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QGCFrXPWjXXy6EevjgsALlzQO_dNwQuf4FlJM16QOOfBpNET5krVrWURxeT8lLRQms&_nc_ohc=B3mf-spN5MYQ7kNvwHAB23x&_nc_gid=QL1RbrILO7lYMBSHZmxy6w&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdKrOfjY8Ew8PIr0-Udn2m8vi9uXUgZqOX_t2zfxm9KAg&oe=68EEC15F&_nc_sid=d885a2,Authentic Pilates Learning Center,,,2025-10-10T10:36:16.748Z,2025-10-10T10:36:41.438Z,hydrated
https://www.instagram.com/reel/DELPbHBzWdQ,pilates workouts,pilatesbylisaonline,Lisa Pentony,"Get ready to transform your body and mind with the fit & focused challenge, launching january 6th exclusively on the pilates by lisa online studio! 🎉

To celebrate the start of the challenge, we are offering an extra 20% off our already heavily discounted annual memberships when you use code 20OFF at checkout OR 50% off your first TWO months when you choose the monthly option with code 2FOR1 at checkout. Ends this week! 

This challenge is designed to kickstart your 2024 with:
✨ Three brand-new pilates workouts to energize, strengthen, and tone
✨ Your free challenge ebook packed with tips and inspiration to keep you on track
✨ Access for all current subscribers – no extra cost

Whether you’re just starting out or looking to elevate your routine, this challenge is the perfect way to set the tone for your healthiest year yet.

Sign up now and join the fit & focused challenge to take your fitness to the next level. Don’t miss it!

#pilateschallenge #fitandfocused #pilatesbylisa #newyeargoals #newyearnewme #pilatescommunity #pilatesonline #homeworkout #fitnesschallenge #2024goals #pilatesinspiration #wellnessjourney #fitandstrong #coreworkout #strongandtoned",,732,https://instagram.fplu8-1.fna.fbcdn.net/v/t51.2885-15/471917564_18477357697038016_5333235362914326106_n.jpg?stp=c0.458.1179.1179a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fplu8-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QFUdQU7Xvw347SQg5vDZsLpjrI2POLD2iNid6QqQ6Gq-utZpFZ4MYi4nEax6V5US1c&_nc_ohc=i6BMddesxqMQ7kNvwEwD74g&_nc_gid=NC10qmLf-OVtjgZYpb_Huw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Affxl7dPgJzTRkJcvN0sJ3LCZze3bwkoYKld04_BwxYpvw&oe=68EE9F7E&_nc_sid=d885a2,,,,2025-10-10T10:36:16.748Z,2025-10-10T10:36:41.438Z,hydrated
