campaignId,userId,campaignName,searchType,status,jobCount,completedJobs,totalCreators,createdAt,updatedAt
fb862a09-ee41-4492-8150-705f76ed57eb,user_2zXG2NyWPbk1dHbsDdRQAjNpmWb,test_final,keyword,draft,3,3,246,2025-10-17,2025-10-17
86145d22-7ee3-437b-8700-936ce6b8ed20,user_33yWkyNhkD9r3IYVIuT84kk0WyM,Tech,keyword,draft,0,0,0,2025-10-14,2025-10-14
f615ca4d-2dbd-49f8-815f-d057ecf6e053,user_33yWkyNhkD9r3IYVIuT84kk0WyM,GTM 100,keyword,draft,1,1,122,2025-10-14,2025-10-14
86a61ab9-bdb8-4b4c-92bb-de759a3a5301,user_2zghMvO59JLiQRcfyc0LHVtLFqw,typeform,keyword,draft,12,12,1098,2025-10-13,2025-10-13
b2c938ef-9fd7-45bf-b910-c918e0eb462f,user_340vOjdabY6Z6JN7ry1wdVUJGkP,10/13,keyword,draft,0,0,0,2025-10-13,2025-10-13
37798fdb-fc88-4b34-8f8b-a0070f30f3b6,user_340vOjdabY6Z6JN7ry1wdVUJGkP,insta similar influencers ,keyword,draft,3,3,51,2025-10-13,2025-10-13
e893a87f-0a6c-4e4f-9aa4-5ade36d9d8c5,user_2zghMvO59JLiQRcfyc0LHVtLFqw,test,keyword,draft,1,1,29,2025-10-13,2025-10-13
13e48dd1-4a0b-4051-a34d-cd71306125b6,user_340vOjdabY6Z6JN7ry1wdVUJGkP,Insta influencers,keyword,draft,1,1,106,2025-10-13,2025-10-13
ee9c6786-3a04-4c27-8142-292c75f9aa61,user_2zghMvO59JLiQRcfyc0LHVtLFqw,tiktok test,keyword,draft,1,1,105,2025-10-11,2025-10-11
9a8e0553-6896-49a8-b4fd-8ac8e2a5b964,user_2zghMvO59JLiQRcfyc0LHVtLFqw,test 2,keyword,draft,1,1,7,2025-10-10,2025-10-10
d6e785c8-3f24-4b90-849b-fadba557fd37,user_2zghMvO59JLiQRcfyc0LHVtLFqw,test,keyword,draft,1,1,49,2025-10-10,2025-10-10
