jobId,campaignId,platform,status,searchType,keywords,targetUsername,processedResults,targetResults,progress,createdAt,completedAt,duration
d039f017-6b29-4fa5-997c-2bbdcf0b516a,fb862a09-ee41-4492-8150-705f76ed57eb,YouTube,completed,keyword,"[""adidas shoes""]",,26,100,100%,2025-10-17T08:52:11.302Z,2025-10-17T08:52:58.218Z,0m 46s
17272005-5d3e-4989-986d-2d248b18704b,fb862a09-ee41-4492-8150-705f76ed57eb,Tiktok,completed,keyword,"[""nike shoes""]",,100,100,100%,2025-10-17T08:52:01.500Z,2025-10-17T08:53:13.791Z,1m 11s
46204a93-6a17-4d52-b471-03e252a052d7,fb862a09-ee41-4492-8150-705f76ed57eb,Tiktok,completed,keyword,"[""airpods pro""]",,120,100,100%,2025-10-17T08:51:49.374Z,2025-10-17T08:53:16.075Z,1m 25s
df1d992f-76cb-45c6-93e4-0efa652c2a7b,3faba2dc-59f3-4cd1-a8f7-0cc5ea731043,Instagram,completed,keyword,"[""organic""]",,22,1000,100%,2025-10-16T20:34:03.824Z,2025-10-16T20:36:26.663Z,2m 23s
d583509b-e0ff-4741-92f5-138e0111e719,3faba2dc-59f3-4cd1-a8f7-0cc5ea731043,Tiktok,completed,keyword,"[""healthy""]",,176,1000,100%,2025-10-16T20:07:23.261Z,2025-10-16T20:13:26.838Z,6m 2s
07db820d-a011-4c02-90bc-e0b84544865e,3faba2dc-59f3-4cd1-a8f7-0cc5ea731043,Tiktok,completed,keyword,"[""healthy""]",,164,1000,100%,2025-10-16T20:07:12.838Z,2025-10-16T20:13:19.410Z,6m 5s
ba6b9f3f-9aef-4416-b9b3-f155da125c1a,3faba2dc-59f3-4cd1-a8f7-0cc5ea731043,Instagram,completed,similar,[],dramyshah,14,100,100%,2025-10-16T14:36:47.279Z,2025-10-16T14:37:54.320Z,1m 6s
ae64ec64-3310-4996-ac29-d0880912fac4,3faba2dc-59f3-4cd1-a8f7-0cc5ea731043,Instagram,completed,keyword,"[""vegan""]",,34,1000,100%,2025-10-16T14:35:03.908Z,2025-10-16T14:42:36.907Z,7m 33s
90db41ff-5045-4209-9a0b-4e33a6416359,3faba2dc-59f3-4cd1-a8f7-0cc5ea731043,Instagram,completed,similar,[],drjkahn,0,100,100%,2025-10-16T14:33:25.429Z,2025-10-16T14:33:42.067Z,0m 16s
44f289cd-e5a7-4925-8c16-7d18cb34da2f,3faba2dc-59f3-4cd1-a8f7-0cc5ea731043,Instagram,completed,keyword,"[""natural"", ""health""]",,43,1000,100%,2025-10-16T14:19:48.924Z,2025-10-16T14:23:12.111Z,3m 23s
63442b28-a32b-4cc1-895a-71681585998a,3faba2dc-59f3-4cd1-a8f7-0cc5ea731043,Tiktok,completed,keyword,"[""health and fitness""]",,156,1000,100%,2025-10-15T16:25:40.276Z,2025-10-15T16:27:35.784Z,1m 55s
dab8cc4a-4c28-4b68-8fa5-fb0ba2523bc0,3faba2dc-59f3-4cd1-a8f7-0cc5ea731043,Instagram,completed,similar,[],drjkahn,0,100,100%,2025-10-15T16:19:07.515Z,2025-10-15T16:19:40.433Z,0m 32s
99dcb651-6039-4c55-aee2-609cf6af5a78,3faba2dc-59f3-4cd1-a8f7-0cc5ea731043,Instagram,completed,similar,[],mpmnutrition,0,100,100%,2025-10-15T16:18:34.989Z,2025-10-15T16:18:47.251Z,0m 11s
666d5c8c-ee16-49df-87ec-e525efb235c5,f615ca4d-2dbd-49f8-815f-d057ecf6e053,Tiktok,completed,keyword,"[""Tech gamma canva ai Genspark chat gpt gemini"", ""ai tools 2025 best productivity tools gamma ai fyxer assistant genspark ai chatgpt prompts canva ai tools ai presentation maker ai content creation tech sourcing tools ai automation tools""]",,122,1000,100%,2025-10-14T10:11:32.874Z,2025-10-14T10:13:32.039Z,1m 58s
d4b0a5fb-df8d-41dc-8ce2-b0e6eebf3b24,86a61ab9-bdb8-4b4c-92bb-de759a3a5301,Tiktok,completed,keyword,"[""castmagic""]",,113,100,100%,2025-10-13T15:37:09.717Z,2025-10-13T15:38:36.661Z,1m 26s
eacf62af-94e8-440e-b554-3c1953c32666,86a61ab9-bdb8-4b4c-92bb-de759a3a5301,Tiktok,completed,keyword,"[""tallyforms""]",,106,100,100%,2025-10-13T15:34:39.557Z,2025-10-13T15:35:50.077Z,1m 10s
c00d0d78-d733-4641-87f3-49370850d879,3faba2dc-59f3-4cd1-a8f7-0cc5ea731043,Instagram,completed,keyword,"[""doctor""]",,40,1000,100%,2025-10-13T15:28:28.589Z,2025-10-13T15:32:38.317Z,4m 10s
247b8f75-fd16-4f2f-af5e-86d5c43a1113,3faba2dc-59f3-4cd1-a8f7-0cc5ea731043,Instagram,completed,keyword,"[""doctor""]",,39,1000,100%,2025-10-13T15:27:56.663Z,2025-10-13T15:33:24.244Z,5m 27s
f9b4b3ff-004c-4c95-bfd3-ba6eb1b3ecf9,3faba2dc-59f3-4cd1-a8f7-0cc5ea731043,Tiktok,completed,keyword,"[""health""]",,119,1000,100%,2025-10-13T15:27:21.829Z,2025-10-13T15:28:46.028Z,1m 23s
7698c83c-9ee3-4865-8e45-946ee05fcfd7,86a61ab9-bdb8-4b4c-92bb-de759a3a5301,Tiktok,completed,keyword,"[""surveymonkey""]",,103,100,100%,2025-10-13T15:06:44.468Z,2025-10-13T15:08:03.439Z,1m 18s
8e7281e2-e0a6-4b9c-a7f6-6164dbf2c53b,86a61ab9-bdb8-4b4c-92bb-de759a3a5301,Instagram,completed,keyword,"[""jotform""]",,29,100,100%,2025-10-13T15:06:35.840Z,2025-10-13T15:09:16.685Z,2m 41s
2f221362-7475-44e2-9d45-eb3e983275cc,86a61ab9-bdb8-4b4c-92bb-de759a3a5301,Tiktok,completed,keyword,"[""tally""]",,100,100,100%,2025-10-13T15:06:24.240Z,2025-10-13T15:07:38.223Z,1m 13s
5945b953-3960-4205-8fbf-adcc3a1b91e0,86a61ab9-bdb8-4b4c-92bb-de759a3a5301,YouTube,completed,keyword,"[""tallyforms""]",,104,100,100%,2025-10-13T14:32:12.951Z,2025-10-13T14:34:27.391Z,2m 14s
c276bd2f-0559-496d-ba17-5d8fba46fbd5,86a61ab9-bdb8-4b4c-92bb-de759a3a5301,YouTube,completed,keyword,"[""surveymonkey""]",,101,100,100%,2025-10-13T14:28:09.921Z,2025-10-13T14:31:22.935Z,3m 12s
eab0b397-27df-43fa-a577-2dc5f80b67b3,86a61ab9-bdb8-4b4c-92bb-de759a3a5301,YouTube,completed,keyword,"[""jotform""]",,101,100,100%,2025-10-13T14:28:01.603Z,2025-10-13T14:31:33.068Z,3m 30s
17a395b2-0570-4e70-ae42-6ac6f5276542,86a61ab9-bdb8-4b4c-92bb-de759a3a5301,Tiktok,completed,keyword,"[""typeform""]",,113,100,100%,2025-10-13T14:21:47.038Z,2025-10-13T14:23:11.859Z,1m 24s
30e710f6-171d-4097-8896-0445d8d01990,86a61ab9-bdb8-4b4c-92bb-de759a3a5301,Instagram,completed,keyword,"[""typeform""]",,25,100,100%,2025-10-13T14:19:28.056Z,2025-10-13T14:21:55.083Z,2m 27s
