Fetching 60 reels for "meditation wellness"...
Success: true
Total Reels: 60

================================================================================
QUALITY REELS (100+ likes): 15
================================================================================
USERNAME,LIKES,REEL_URL,PROFILE_URL
drbindiyamd,510,https://instagram.com/reel/DOY5LdBjgo6,https://instagram.com/drbindiyamd
maneuvering_mic,164,https://instagram.com/reel/DQhctAhjBep,https://instagram.com/maneuvering_mic
kyserili38_38,1034,https://instagram.com/reel/DRcW5r3DNVE,https://instagram.com/kyserili38_38
jeffkobermeditation,504,https://instagram.com/reel/DKqz5S9gulF,https://instagram.com/jeffkobermeditation
sjanaelise,2300,https://instagram.com/reel/C7H6hl5SoeO,https://instagram.com/sjanaelise
wakeupist,134,https://instagram.com/reel/DQIAZUJAeVO,https://instagram.com/wakeupist
mohammadirfan467,222,https://instagram.com/reel/DRMTO1jkYpu,https://instagram.com/mohammadirfan467
thewellnessspaceglobal,101,https://instagram.com/reel/DQ4v_twAXpZ,https://instagram.com/thewellnessspaceglobal
that.unfit.guy,17630,https://instagram.com/reel/DRUwAT8krpd,https://instagram.com/that.unfit.guy
mobility_mvmnt,122,https://instagram.com/reel/DRe8JbJjs0m,https://instagram.com/mobility_mvmnt
unc.pappy,1273,https://instagram.com/reel/DRUi4RLARFN,https://instagram.com/unc.pappy
pujarinews,548,https://instagram.com/reel/DRb9ZvYk7yt,https://instagram.com/pujarinews
themindry,370,https://instagram.com/reel/CLh-cKsHgaM,https://instagram.com/themindry
mumait,402,https://instagram.com/reel/DRWNkn0DO0W,https://instagram.com/mumait
rudrayogpeeth_yoga_ashram,937,https://instagram.com/reel/DRSHRwxEq6r,https://instagram.com/rudrayogpeeth_yoga_ashram

================================================================================
LOW ENGAGEMENT REELS (<100 likes): 45
================================================================================
USERNAME,LIKES,REEL_URL,PROFILE_URL
caroleshashona,2,https://instagram.com/reel/DRaLsQCjgnb,https://instagram.com/caroleshashona
lifewjulz,23,https://instagram.com/reel/DO_5e0uEhmp,https://instagram.com/lifewjulz
thewolfofwellness,-1,https://instagram.com/reel/DQ6JuSokbfy,https://instagram.com/thewolfofwellness
jacquiebirdspiritualwellness,4,https://instagram.com/reel/DRQEOueiVGh,https://instagram.com/jacquiebirdspiritualwellness
thewellnessconnectionllc,2,https://instagram.com/reel/DQT_c11gOQ1,https://instagram.com/thewellnessconnectionllc
yogaartistry,30,https://instagram.com/reel/DQzHFK_DV8-,https://instagram.com/yogaartistry
wellness.withmikki,9,https://instagram.com/reel/DQ4SZ8hlUXs,https://instagram.com/wellness.withmikki
