Reel URL,Creator Username,Creator Full Name,Verified,Follower Count,Post Count,Video Duration,Views,Plays,Likes,Caption Preview,Location,Posted Date,Has Audio,Music Artist,Song Name,Thumbnail URL
https://www.instagram.com/reel/DRBHnLqjaN7/,drjeremylondon,"Jeremy London, MD",✓,1.5M,393,1:14,27.7K,69.9K,2.8K,"3 simple ways to eat healthier 🥗  If you enjoyed this content, then check out my free newsletter at ...","Savannah, Georgia",2025-11-14 00:54,✗,drjeremylondon,Original audio,https://scontent-bog2-1.cdninstagram.com/v/t51.2885-15/581219550_17925708906156014_4472343535050642796_n.jpg?stp=c0.420.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-bog2-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QG8VPhpWT5GODTx1Kj2b4Y6FWQUQXgR7AQRoSLcihcRcOOcfGIBgUfemrZKw2Vo5Nc&_nc_ohc=Ap0BcCJepyUQ7kNvwGW3AR6&_nc_gid=9_Fz-2HFNAJgKcXLi3rANw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfgkZQG4iHQYADD0UZQv6sFXfnVNGMpmemkwuTfbQG-NKA&oe=69213523&_nc_sid=d885a2
https://www.instagram.com/reel/DOHIt1OgSoi/,henryfordhealth,Henry Ford Health,✓,23.2K,4064,1:09,889,3.9K,27,🍎🥦 We’ve all heard the advice to eat a “balanced diet.” But how do you know if yours really is? Our ...,,2025-09-02 19:26,✓,henryfordhealth,Original audio,https://scontent-ams2-1.cdninstagram.com/v/t51.2885-15/541856914_1425227171925842_1501684080719663358_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QGJXtAVc2oecNH1LPM7HC6Wnk4gnssg4zdiY0Yx2QD0nFfXE_ECymHltsrrvc39Y1g&_nc_ohc=44Gt7-C5rSUQ7kNvwGkjzY0&_nc_gid=4UqeuzN_ZzhbEMSMp3QkRw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfjKsFc_psxjbt-OeEOAaNxsT7ksnRHQ06sK5iaY04KEBQ&oe=69212866&_nc_sid=d885a2
https://www.instagram.com/reel/DRCXRidCX5d/,dr.pal.manickam,Dr. Pal Manickam,✓,1.9M,1391,1:34,279.6K,654.6K,19.7K,"Everyone’s confused about diets..sugar, carbs, honey, keto, fats… and honestly, I don’t blame you. S...",,2025-11-14 13:00,✓,dr.pal.manickam,Original audio,https://instagram.fist2-3.fna.fbcdn.net/v/t51.2885-15/582493139_18080178686117797_1867642088756249885_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640_tt6&_nc_ht=instagram.fist2-3.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QHQFWp_Dv5LZR5gN5o68EBDvZwGTaOfhVnQY_GLwQhOgxvaXmOxK0mN7ewKHBxGBuk&_nc_ohc=4ltAYPPlsx0Q7kNvwHdlSmk&_nc_gid=ojSH1aKUfG40PVe4kFmOaQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afgc1JSC-JBfexdzg6cK8uoF2TzIFt3zjNfu-EKxQ4rydg&oe=6921280F&_nc_sid=d885a2
https://www.instagram.com/reel/DRACmmvlJZi/,doctor.sethi,Saurabh Sethi MD MPH | Gastroenterologist,✓,1.4M,1271,0:39,32.1K,94.0K,2.2K,5 signs your body needs more nutrition 🍎⚠️  Have you noticed any of these signs recently?  #nutritio...,,2025-11-13 14:51,✓,doctor.sethi,Original audio,https://instagram.fkul10-2.fna.fbcdn.net/v/t51.2885-15/582083941_18412322923184159_3315682014463466295_n.jpg?stp=c0.420.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fkul10-2.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QGprOkj0iNxGlqvTt9v__FkGc9JtNlqhhECrNqpCOPKjNp15ZIf-dxP7Ux73n0e28M&_nc_ohc=f-SZv0z6URgQ7kNvwHeTqJz&_nc_gid=cTIk8BdGAbhTxoPkURBD6g&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfhOWsVPX-8RhkOot_dLRmF_kJ8K3rlYlNwI-QLecZyDOw&oe=69214E71&_nc_sid=d885a2
https://www.instagram.com/reel/DRAiCMBEsnx/,devinfitofficial,Devin J. George | Fitness/Nutrition Coach,✓,642.6K,1213,1:32,34.6K,82.7K,2.8K,"Fam, I’ll never look at oatmeal crème pies the same.🤢  There’s no wonder your bloated, inflamed, and...","Los Angeles, California",2025-11-13 19:27,✗,devinfitofficial,Original audio,https://instagram.fuln1-1.fna.fbcdn.net/v/t51.2885-15/581543808_1897842620942596_8605724513298223451_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fuln1-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QF7V-a31rPm6TBOksgcrrvnXPEgSKvDxZbBONPv094nuGIiUBQNnc3syiir_I7AQas&_nc_ohc=Xpj2reLiQrUQ7kNvwE_hOs2&_nc_gid=nU1_sJ-kJxTMu_f4dDHt5Q&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfhyN8LFO_sSR6iEYSCVQrDLMuYRUnUgrHV8qyLkyR6t7Q&oe=69211D6E&_nc_sid=d885a2
https://www.instagram.com/reel/DQZ-bNejf0O/,philaunion,Philadelphia Union,✓,562.8K,11917,1:33,3.9K,15.9K,330,Learn more about nutrition with Nate and Lena from @pennmedicine!,,2025-10-29 20:04,✓,philaunion,Original audio,https://instagram.fcwb5-1.fna.fbcdn.net/v/t51.2885-15/573064741_18536059492043634_104673456095750863_n.jpg?stp=c0.420.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fcwb5-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QHBKnooun68nPvFKeP18tYyXoQEJ04qTdrntcp5ZBxnlJRasIptiTCNiKiTa89b9A8&_nc_ohc=Sxrx7aOZeIoQ7kNvwH0SgXB&_nc_gid=ky_jCNFNVPtTHiTwLJOZOQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afhst52X2SuRQ-WfY2ZrMUDS3x6tOY-mAnte1wrJaT9MLA&oe=69213979&_nc_sid=d885a2
https://www.instagram.com/reel/DNgCjqkMD7S/,carolinahungerinitiative,Carolina Hunger Initiative,,588,481,0:58,1.9K,3.1K,46,"🥫✨ Don’t sleep on canned veggies! It’s nutritious, affordable, and lasts way longer than those veggi...",,2025-08-18 15:01,✓,carolinahungerinitiative,Original audio,https://instagram.fist4-1.fna.fbcdn.net/v/t51.2885-15/534223405_18074370407046111_6037776327343914947_n.jpg?stp=c0.180.1080.1080a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fist4-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QFrnf9X0RfaWSmb5Nt9XbzdLBygTdxslN16HthRjtp6dguhcTQp0ztrd6iXldMw3vA&_nc_ohc=qn2lKQDrktIQ7kNvwFtQyFk&_nc_gid=yvvU8zx3UrpqKS_ltNjpow&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfhqLE4qzxrSCU8JJ7uf8ldD_sgzWJDD4WXJkCnNg95U6Q&oe=692152C9&_nc_sid=d885a2
https://www.instagram.com/reel/DQiBG2uD54P/,poe_center,"The Poe Center - Raleigh, NC",,1.2K,502,1:47,57,380,12,It’s the end of Health Literacy Month. Don’t be afraid to ask questions about your health when visit...,,2025-11-01 23:00,✓,poe_center,"Mix: Louie Zong • Ghost Duet | Celestial Aeon Project, Nightcore Love, Halloween Witches • Cute Halloween Spookiness",https://instagram.fssa7-1.fna.fbcdn.net/v/t51.2885-15/571477938_1321638452773186_4081671986042968200_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fssa7-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QEs36FfcuLPEi9hzXuZPEjdQRZ_mvKR_k5R9aLtOWqfgG4PY_A92QRJRp9LNn5nly4&_nc_ohc=RDrMFhGgp68Q7kNvwGpSuS6&_nc_gid=quY-7awIeL1gDnURJ27VFg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfiiqXo4pOGnpE8oRfDict28t8U6T0DllGVCsOW6iYk2fA&oe=692121E7&_nc_sid=d885a2
https://www.instagram.com/reel/DPouDxODX45/,senatorbillfrist,Bill Frist,✓,2.4K,1414,2:33,105,417,10,Joined leaders at the @tuftsuniversity Food is Medicine National Summit to focus on one critical tru...,,2025-10-10 17:00,✓,senatorbillfrist,Original audio,https://scontent-mba2-1.cdninstagram.com/v/t51.2885-15/561924268_18532716814009728_470152272419503936_n.jpg?stp=dst-jpg_e15_s640x640_tt6&_nc_ht=scontent-mba2-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QEf3Onp43NSt07DxMusHEPJS-WecbgqNtnDotvVj076tY1rTfKiae62cytlkp43S4Q&_nc_ohc=M9-w4pW2sRQQ7kNvwHDGd-i&_nc_gid=_98Ve1vjXB7M9LQWw3K8gQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfivKCvtFHVy5XNBvI3T_7Ugcjv_guoV51cOxxsy8_Whfg&oe=692121E9&_nc_sid=d885a2
https://www.instagram.com/reel/DQ173cegAAC/,wvudining,WVU Hospitality Group,,2.7K,38,0:56,416,1.5K,37,Protein Jello shots? ✅ Trivia champs? ✅ Free nutrition advice? ✅ The Fueled MY Gains table had it al...,,2025-11-09 16:43,✓,wvudining,Mix: The Fame Gang • Soulful Strut (Instrumental),https://instagram.fkep3-1.fna.fbcdn.net/v/t51.2885-15/576557798_4154147571490454_2384018446749658817_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fkep3-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QFqNJegXsifkfBEmINKxUXdqvQhhwnuRrQkh6l2fH427-9ZW-LJOCcEZ13WZSALyoE&_nc_ohc=_ff-a7lvSYoQ7kNvwEavEIf&_nc_gid=AxlEgxRE8pvGHdm2Wa-GGw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfjNEuij5PFXkM0oz2HdceXlTG40P2ePep7H8YdkfgiPkA&oe=6921535E&_nc_sid=d885a2
